ISBN13,Image,Name,Rating,Reviews,Format,Series,Language,Price,Description
9780241312209,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2413/9780241312209.jpg,Weather and the Seasons,4.43,7,Hardback,-1,English,"₹ 1,123.99","Nature-loving and crafty 3-5 year olds will love finding out all about weather in this charming crafty science book. From sun and snow, to thunder and lightning, children will find out what goes on up in the sky, and why. They'll discover simple answers to difficult questions - What makes a rainbow? Why do the seasons change? With vibrant photography and playful illustrations, Weather and the Seasons introduces geography in a way that's fun and accessible to early learners. Then they can get creative and explore weather and seasons further with simple hands-on crafts and activities, bringing the information to life. Children will love making an ice sun-catcher and seeing how it melts, or making their own weather vane to check wind direction. Amazing facts combined with fun activities reinforce information while also boosting memory, brain development, and dexterity. show more"
9780603570582,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/6035/9780603570582.jpg,Enid Blyton Magical Collection,3.71,7,Hardback,-1,English,Not Known,"In the Enid Blyton Magical Collection you will meet all sorts of magical creatures, from pixies and fairies to brownies and imps. Some are sweet and helpful, while others are lazy and naughty. But one things for sure, life is never boring when the magic folk are about! This hardback treasury includes 17 magical Enid Blyton stories! show more"
9780718195380,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7181/9780718195380.jpg,Ladybird Stories for 3 Year Olds,3.57,7,Hardback,-1,English,₹ 711.91,"Ladybird Stories for 3 year olds is a lively collection of animal stories perfect for sharing with young children and ideal for bedtime reading. Each story is filled with colourful and amusing illustrations to entertain little ones. In No Room for Panda, Lucy's pet panda gets into all sorts of trouble. Nigel the crocodile has to visit the dentist in Nigel's Toothache and the poorly penguins, Clive and Brenda, have fun at home in Indoor Sports. show more"
9781474814911,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4748/9781474814911.jpg,"Little Learners Twinkle, Twinkle, Little Star Finger Puppet Book",3.86,7,Board book,-1,English,Not Known,"Your little one will love this Twinkle, Twinkle, Little Star book featuring a star-shaped finger puppet! show more"
9781570640810,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5706/9781570640810.jpg,Barney and Baby Bop Follow That Cat!,3.29,7,Board book,-1,English,Not Known,Whiskers the cat leads Barney and Baby Bop all around the house before they find the surprise she wants to show them show more
9781577596271,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5775/9781577596271.jpg,Koala Kid,2.71,7,Board book,-1,English,Not Known,Not available
9781581171181,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5811/9781581171181.jpg,Hurray for Snow : A Holiday Sparklers Book,3.14,7,Hardback,-1,English,Not Known,Not available
9781581171198,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5811/9781581171198.jpg,The Little Reindeer,2.71,7,Hardback,-1,English,Not Known,Not available
9781643900797,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6439/9781643900797.jpg,Understanding Stacey : Things aren't always as they seem,3.43,7,Paperback,-1,English,₹ 868.36,"School's out, and Emily's ready to enjoy a long, lazy summer relaxing by the pool...until she finds out her family's expecting a visit from her exceedingly weird cousins, including Stacey, the weirdest of them all. She's snobby and critical, obsessed with art and music, and even more obsessed with God. How can she place so much trust in God when He couldn't even keep her from needing a wheelchair? Emily has no interest in spending time with Stacey, let alone sharing a room with her, but news that Aunt Jaycee has something called Munchausen syndrome by proxy and might have been making her daughters sick on purpose, forces Emily to see Stacey in a new light. Emily will have to sift through her assumptions and agitation if she wants to understand the real Stacey, and by the end of the summer, she might find that weird Stacey has a lot to teach her about family, friendship, and faith. show more"
9781730183324,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7301/9781730183324.jpg,Vegetables,3.43,7,Paperback,-1,Not Known,Not Known,Not available
9781780556352,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7805/9781780556352.jpg,The Kids' Book of Awesome Riddles : More than 150 brain teasers for kids and their families,4.86,7,Paperback,-1,English,₹ 444.35,"Packed with over 150 cunning conundrums and perplexing puzzles, this fun and challenging riddle book is packed with difficult riddles, designed to test logic and lateral thinking. This brain-bending collection of the trickiest riddles for clever kids is packed with hundreds of cunning conundrums and perplexing puzzles that will keep kids guessing. The riddles are accompanied with fun illustrations that add humour, but won't give the game away. From quick, easy riddles to keep your brain ticking over, to longer riddles that involve some serious brainpower, The Kids' Book of Awesome Riddles has something for everyone to enjoy. These riddles are the perfect activity for kids, parents, brothers, sisters, friends and family. For anyone that loves problem solving and testing their lateral and creative thinking skills, whether travelling, on holiday, at home or on the go, this book has it all. show more"
9781781865798,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7818/9781781865798.jpg,Disney Monsters University Classic Storybook,3.57,7,Hardback,-1,English,Not Known,Not available
9782894501900,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9782/8945/9782894501900.jpg,Tell Me Where,3.14,7,Board book,-1,English,Not Known,"Lift-flaps allow children to look for Caillou as he hides near his rocking horse, his chair, and his bed. show more"
9788122314175,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/1223/9788122314175.jpg,365 Inspiring and Motivational - : Ideas Stories Quotes Thoughts Anecdotes,4.14,7,Paperback,-1,Not Known,Not Known,Not available
9788126425518,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/1264/9788126425518.jpg,Bleak House,3.71,7,Paperback,-1,Not Known,Not Known,Not available
9788184516180,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/1845/9788184516180.jpg,Vegetable,3.43,7,Hardback,-1,English,Not Known,My Jumbo Book - Vegetable is a great book that introduces children with the variety of vegetables available in the world and the healty diet they provide us. show more
9789384625924,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/3846/9789384625924.jpg,365 Inventions That Changed the World,4.71,7,Hardback,-1,English,"₹ 3,715.70","From the Dark Ages to the present day, humans have made a great amount of progress, Among all the great discoveries and inventions there are many that have changed our lives forever Whether it is the spoon or fork that we use to eat with or-the internet that completely revolutionised communication, each invention in this book signifies a step towards a newer, better world! show more"
9789386410009,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/3864/9789386410009.jpg,Adventures of Sherlock Homes- Om Illustrated Classics,4.29,7,Hardback,-1,English,Not Known,"The Casebook of Sherlock Holmes sees Sherlock Holmes solving some of the most puzzling cases again. His friend and biographer, Dr. Watson, chronicles how Holmes uses his extraordinary intellectual faculties and practiced power of observation to find out facts that most people didn't even consider important. In Sherlock Holmes's method of work, the most basic and mundane facts become the most damning of clues. His talent allows him to become the effective consulting detective who turns the pedestrian into extraordinary. This volume contains some of the most famous of Holmes's successes, including The Illustrious Client, The Lion's Mane, The Blanched Soldier and The Creeping Man. In this collection, we also see Holmes recording his own adventures. show more"
9780143453147,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1434/9780143453147.jpg,The Puffin Book of 100 Extraordinary Indians,4.5,6,Paperback,-1,English,"₹ 1,496.09","The Puffin Book of 100 Extraordinary Indians is a celebration of achievements and personal stories of those who forged new paths for themselves and others in a way that it continues to affect modern lives. Written as short anecdotal biographical sketches, the book presents lives of scientists, doctors, activists, painters, sportspeople, dancers, political leaders and many more from different walks of life. Among 100 extraordinary Indians are names like Irom Sharmila, Dutee Chand, Bhagat Singh, Gauri Sawant, Virat Kohli, Satya Nadella, Chatrapati Shivaji. Whether they climbed the heights, swam the depths, mastered science or track and field, picked the baton of education or activism--each of their stories is replete with big and small victories that continue to inspire. show more"
9780143454274,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1434/9780143454274.jpg,Paati vs UNCLE (The Underground Nightly Cooperative League of Elders),4.67,6,Paperback,-1,English,₹ 955.12,"All Inju wants is a quiet, boring holiday at the most boring house in Mumbai, but life at Parijat Retirement Colony is not the same any more. A thief is on the loose, and Paati has decided to become an UNCLE! But when the uncles of UNCLE (The Underground Nightly Cooperative League of Elders) act not so cooperative, Inju takes charge. Joining forces with a lady whose papads were stolen, the skinny building watchman and Paati, Inju forms PAATI (The People's Association against Thieves International). Can this motley crew of detectives crack the code? show more"
9781408339657,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4083/9781408339657.jpg,Mad About Trucks and Diggers!,4,6,Paperback,-1,English,₹ 808.48,"A colourful rhyming picture book all about trucks and diggers, from the author of international bestseller, Giraffes Can't Dance. Is your little one mad about trucks and diggers? Then they'll love this bright, bold book, packed with all sorts of vehicles - including dumper trucks, diggers, cranes, fire engines, transporters and more. Read about all the amazing things they do, then decide which one you would choose to drive! From the creators of the bestselling Rumble in the Jungle and Commotion in the Ocean. show more"
9781472331496,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4723/9781472331496.jpg,Disney Sofia the First Magical Story,3.5,6,Hardback,-1,Not Known,Not Known,Not available
9781555834289,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5558/9781555834289.jpg,Lucy Goes to the Country,4,6,Hardback,-1,English,Not Known,Madcap adventures ensue when a gay couple and their cat spend the weekend in the country. show more
9781571515926,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5715/9781571515926.jpg,Picture Me Peek-A-Boo Bedtime,3.67,6,Board book,-1,English,Not Known,Not available
9781579242732,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5792/9781579242732.jpg,Chickadee Winter,4.83,6,Paperback,-1,English,Not Known,"Jack does not think that he will enjoy the cold and snow of Christmas at his grandfather's house, so different from the hot climate he has known, but then he is delighted when Grandfather brings three chickadees inside and they become living decorations for the Christmas tree. show more"
9781581171037,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5811/9781581171037.jpg,The Toy Cupboard,4.5,6,Hardback,-1,English,Not Known,Not available
9781587170263,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5871/9781587170263.jpg,Willy Pog Any's Mother Goose,3,6,Hardback,-1,English,Not Known,"A reproduction of the 1928 edition overflows with more than eighty Mother Goose rhymes, a glorious cast of characters, and more than one hundred art-deco illustrations by an award-winning artist. show more"
9781613777077,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6137/9781613777077.jpg,Kiss Solos,3,6,Paperback,-1,English,Not Known,"The Four-Who-Are-One go it alone! The Demon, Starchild, Celestial, and Catman each get the spotlight shined on them in four individual tales by writers Chris Ryall and Tom Waltz, who are joined by artists Angel Medina, Tone Rodriguez, and Alan Robinson. show more"
9781618218834,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6182/9781618218834.jpg,Being You : A Girl's Guide to Mindfulness,4.5,6,Paperback,-1,English,"₹ 2,114.72","Do you ever feel stressed, anxious, or overwhelmed? As a teen girl, you're under a lot of pressure. Mindfulness can help. Being You explores mindfulness as a simple but powerful way to center oneself and tap into one's own inner wisdom and strength. This book: Is packed with 52 different activities on mindfulness, gratitude, compassion, and self-acceptance. Helps you navigate the pressures of home, school, and the confusing world of frenemies and social media. Features inspiring quotes from young women who use mindfulness in the visual and performing arts, creative writing, sports, and STEM. Includes a wide range of practices and perspectives. Includes information about how scientists study the mind and the brain. You will discovery the many different ways mindfulness is practiced around the world. Most importantly, you'll try it yourself. Practicing mindfulness can help you feel happier and less stressed as you grow into the woman you want to become. This book will show you how. Ages 14-16 show more"
9781730118852,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7301/9781730118852.jpg,Hansel and Gretel,4.67,6,Paperback,-1,English,Not Known,U.M. - Hansel and Gretel - fairy tale in very easy words and extremely attractive coloured pictures. show more
9781732027626,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7320/9781732027626.jpg,Cloud of Witnesses,4.17,6,Paperback,-1,English,"₹ 1,055.87","Some glad morning, I'll fly away. Who cares if he's ""gifted."" Roland Tanner wants to escape his life. He's stuck in a broken-down trailer in the hills with his family, the sorriest characters he's ever met. At his new middle school, his classmates only see him as a hillbilly. He has a secret crush on Patty, but so does his friend Hassan, the new kid from Iran. But then comes the Iranian hostage crisis of 1979. And Roland's father's health takes a turn for the worse while he's away in jail. Will Roland accept the cloud of witnesses--the saints and sinners all around him--and realize that his future can be whatever he makes it? Perfect for fans of Erin Entrada Kelly, Sharon Creech, Cynthia Rylant, and Firoozeh Dumas, Cloud of Witnesses is a poignant, humorous book about coming of age in the foothills of the Appalachians. ""Weaving fiction and historical events together, this book made me laugh and cry. The characters jump off the page. A great read for all middle school students."" -- Marilee Amodt, M.S.Ed., long-time Middle School Curriculum Resource Teacher show more"
9781929927395,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9299/9781929927395.jpg,"Sleep Songs Twinkle, Twinkle Little Star/Golden Slumbers : A Flip-Flop Board Book",4.33,6,Hardback,-1,English,Not Known,"Contains the full-length version of the nineteenth-century poem and the text of a familiar lullaby, illustrated with reflective stars, moons, and other shapes. show more"
9781942367017,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9423/9781942367017.jpg,BITTEN : The Full Moon Book,3.67,6,Hardback,-1,English,Not Known,"Entering high school is tough enough as it is, but things get even more complicated when you've been bitten by a werewolf! International best Selling YA author Cornelia Funke (The Inkheart Trilogy) teams up with comic book artist and character designer extraordinaire Francisco Herrera (Spiderman's Venom, The Prodigies, Megamind) and former Disney Animator and film Director Raul Garcia (Aladdin, The Lion King, Pocahontas) to create a wild and furry world where Hollywood werewolves are real and hiding in plain view! This lavishly illustrated sketch book documents the creative process of transforming Cornelia Funke's best-selling ""Little Werewolf"" books into a brand new, exciting graphic novel series. Hundreds of sketches and color studies show the process of fleshing out the characters of the book as we discover the story of Matt, Lisa, and the incredible odds they have to face to battle an old curse. show more"
9788126436446,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/1264/9788126436446.jpg,Banjaran,4.5,6,Paperback,-1,Not Known,Not Known,Not available
9788181901552,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/1819/9788181901552.jpg,The Monkeys and the Capseller,3.67,6,CD-Audio,-1,English,"₹ 1,171.59","Sanjay Dutt outdoes himself as he read the story of Taklu, the capseller and Metro, the monkey chief. show more"
9788181901606,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/1819/9788181901606.jpg,Whose Lovely Child Can You be?,4,6,Paperback,-1,Not Known,Not Known,Not available
9788183328777,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/1833/9788183328777.jpg,Out of This World! : Stories about Aliens and Robots,3.17,6,Paperback,-1,English,Not Known,"This book offers believable sci-fi from the pen of India's Asimov, Dilip M Salwi -- stories about aliens and robots. They will take you into the future and into worlds you can't have imagined ! Read about awesome aliens who come visiting our planets, about extra-terrestrial voyages to distant worlds, about rogue spaceships, cheeky robots, and much more. Be ready to fly Out of this World! Ages 13 to 16 years show more"
9788184513745,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/1845/9788184513745.jpg,2nd Activity Book,3.33,6,Paperback,-1,English,Not Known,2nd Activity Book - Maths. - is a fun filled treasure house of assignments that entertains as well as enhances the chilren's grasping and understanding the basic concepts in numericals. show more
9788184514612,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/1845/9788184514612.jpg,Manners,3.83,6,Hardback,-1,English,Not Known,A brilliant child-friendly Kiddy Board-Books - Skillful teacher for little-angels to teach them Good Manners with suggestive pictures. show more
9788187108313,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/1871/9788187108313.jpg,Krishna the Adorable God,4.67,6,Hardback,-1,English,"₹ 1,719.24","Who doesn't love the antics of krishna, and who isn't scared of shiva wrath! Why not introduce kids to Indian Mythology and gods and goddessess through these Large Print Books and see how they roll their eyes in wonder and awe! show more"
9789380070018,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/3800/9789380070018.jpg,Jhasi Ki Rani Lakshmibai,4.33,6,Hardback,-1,Not Known,Not Known,Not available
9789384225315,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/3842/9789384225315.jpg,365 Moral Stories,4.17,6,Hardback,-1,English,"₹ 3,715.70","Stories don't just transport us into a world of imagination; they teach us good morals too. 345 Moral Stories bring forth a special story for each day of the year and a lesson to learn with it. Immerse yourself into the wonderful world of stories and learn a new moral each day! After 365 stories, you're bound to learn a lot! Let the reading- and the learning -begin! show more"
9789385273742,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/3852/9789385273742.jpg,All Set to Read a Phonics Reader the Cat and the Rat,4.83,6,Paperback,-1,English,"₹ 1,462.00","""A cat and a rat decide to go on a picnic. Can a cat and a rat be good friends? What happens when the cat is in trouble? Let's take a look! "" show more"
