ISBN13,Role,Name
9780062236968,By (author),Alyssa Satin Capucilli
9780062236968,", Illustrated by",Pat Schories
9780062269706,By (author),Jane O'Connor
9780062269706,", Illustrated by",Robin Preiss Glasser
9780062269706,", Illustrated by",Carolyn Bracken
9780062274465,By (author),Christie Matheson
9780062278784,By (author),Veronica Roth
9780062281616,By (author),Syd Hoff
9780062287342,By (author),Veronica Roth
9780062304209,By (author),James Dean
9780062334305,By (author),Herman Parish
9780062334305,", Illustrated by",Lynne Avril
9780062342409,By (author),Sona Charaipotra
9780062342409,", By (author)",Dhonielle Clayton
9780062348685,By (author),Becky Albertalli
9780062350237,By (author),Mike Berenstain
9780062377296,By (author),Vicki Cobb
9780062404282,By (author),James Dean
9780062404282,", By (author)",Kimberly Dean
9780062404312,By (author),James Dean
9780062404312,", By (author)",Kimberly Dean
9780062404527,By (author),James Dean
9780062422507,By (author),Amy Krouse Rosenthal
9780062422507,", By (author)",Paris Rosenthal
9780062422507,", Illustrated by",Holly Hatam
9780062455864,By (author),Kasie West
9780062470195,By (author),James Dean
9780062470195,", By (author)",Kimberly Dean
9780062497956,By (author),Rob Elliott
9780062497956,", Illustrated by",Gearbox
9780062562739,By (author),Raasch
9780062675279,By (author),James Dean
9780062675279,", By (author)",Kimberly Dean
9780062676283,By (author),Lauren Magaziner
9780062676399,By (author),Tahereh Mafi
9780062689948,By (author),Lisa Greenwald
9780062694256,By (author),R.L. Stine
9780062741356,By (author),Alyssa Capucilli
9780062748539,By (author),Irin Carmon
9780062819864,By (author),Veronica Roth
9780062819864,", Read by",Austin Butler
9780062819864,", Read by",Emily Rankin
9780062819864,", Read by",Erin Spencer
9780062819864,", Read by",MacLeod Andrews
9780062823700,By (author),Erin Hunter
9780062866004,By (author),Jory John
9780062866004,", Illustrated by",Pete Oswald
9780062867155,By (author),Nadia Hashimi
9780062878052,By (author),Shelby Mahurin
9780062937407,By (author),Meena Harris
9780062937407,", Illustrated by",Ana Ramirez Gonzalez
9780062954534,By (author),Jory John
9780062954534,", Illustrated by",Pete Oswald
9780062971067,By (author),LeBron James
9780062971067,", Illustrated by",Nina Mata
9780062989703,By (author),Shelby Mahurin
9780063054035,By (author),Gabrielle Union
9780063054035,", By (author)",Dwyane Wade
9780063054035,", Illustrated by",Tara Nicole Whitaker
9780063057753,By (author),Joanna Ho
9780063057753,", Illustrated by",Dung Ho
9780063057807,By (author),Erin Entrada Kelly
9780063074699,By (author),Shelby Mahurin
9780063082137,By (author),Maureen Johnson
9780063082854,By (author),Bakari Sellers
9780063082854,", Illustrated by",Reggie Brown
9780063094369,By (author),Shelby Mahurin
9780063139756,By (author),Maureen Johnson
9780063210271,By (author),Emery Lee
9780063222724,By (author),Shelby Mahurin
9780064402811,By (author),Katherine Paterson
9780064403689,By (author),Katherine Paterson
9780064407052,By (author),Gail Carson Levine
9780064430227,By (author),Crockett Johnson
9780064438681,By (author),Alma Flor Ada
9780064438681,", By (author)",Vivi Escriva
9780064470308,By (author),Harold Keith
9780064470483,By (author),Ramsey Ullman
9780064471060,By (author),C. S. Lewis
9780064471060,", Illustrated by",Pauline Baynes
9780064471084,By (author),C. S. Lewis
9780064471084,", Illustrated by",Pauline Baynes
9780064471091,By (author),C. S. Lewis
9780064471107,By (author),C. S. Lewis
9780064471107,", Illustrated by",Pauline Baynes
9780064472135,By (author),Terry Trueman
9780064472685,By (author),Diana Wynne Jones
9780099408390,By (author),Maurice Sendak
9780099410584,By (author),Matthew Stover
9780099557494,By (author),Anonymous
9780099560432,By (author),Ernest Cline
9780099572831,By (author),Mark Haddon
9780099572862,By (author),John Boyne
9780099572886,By (author),Dodie Smith
9780099572954,By (author),Frances Hodgson Burnett
9780099572961,By (author),Louisa May Alcott
9780099572985,By (author),E Nesbit
9780099573029,By (author),Rudyard Kipling
9780099590880,By (author),John Jackson Miller
9780099594277,By (author),Kevin Hearne
9780099595854,By (author),L. Frank Baum
9780099908401,By (author),Ernest Hemingway
9780140100181,By (author),Jim Carroll
9780140167771,By (author),Donna Tartt
9780140344455,By (author),Sterling North
9780140348118,By (author),"Thapar, Romila"
9780140366181,By (author),Katherine Paterson
9780140366501,By (author),Salman Rushdie
9780140370065,By (author),Edward Marshall
9780140370065,", Illustrated by",James Marshall
9780140501629,By (author),Pamela Allen
9780140542530,By (author),Munro Leaf
9780140542530,", Illustrated by",Robert Lawson
9780140545951,By (author),Thomas Locker
9780140564341,By (author),Robert McCloskey
9780140566222,By (author),Julius Lester
9780140566222,", Illustrated by",Jerry Pinkney
9780141014081,By (author),Art Spiegelman
9780141036137,By (author),George Orwell
9780141047843,By (author),Pittacus Lore
9780141047850,By (author),Pittacus Lore
9780141047867,By (author),Pittacus Lore
9780141182674,By (author),Jack Kerouac
9780141182674,", Introduction by",Ann Charters
9780141185064,By (author),Mr John Steinbeck
9780141185064,", Introduction by",Robert DeMott
9780141309750,By (author),Robin Mckinley
9780141315188,By (author),Anne Frank
9780141315188,", Translated by",Mirjam Pressler
9780141315188,", Translated by",Susan Massotty
9780141321004,By (author),Robert Louis Stevenson
9780141321004,", Introduction by",Eoin Colfer
9780141321028,By (author),L. Frank Baum
9780141321028,", Introduction by",Cornelia Funke
9780141321059,By (author),Jack London
9780141321059,", Introduction by",Melvin Burgess
9780141321073,By (author),Lewis Carroll
9780141321073,", Introduction by",Chris Riddell
9780141321103,By (author),Mark Twain
9780141321103,", Introduction by",Richard Peck
9780141321219,By (author),Linda Chapman
9780141321592,By (author),L. M. Montgomery
9780141322575,By (author),J M Barrie
9780141322636,By (author),Roald Dahl
9780141322636,", Illustrated by",Quentin Blake
9780141322735,By (author),Roald Dahl
9780141322735,", Illustrated by",Quentin Blake
9780141322919,By (author),Sarah Dessen
9780141324524,By (author),Charles Dickens
9780141324524,", Introduction by",Anthony Horowitz
9780141324906,By (author),Jeff Kinney
9780141324913,By (author),Jeff Kinney
9780141325293,By (author),Rudyard Kipling
9780141325293,", Introduction by",Christopher Paolini
9780141326085,By (author),Kami Garcia
9780141326085,", By (author)",Margaret Stohl
9780141326092,By (author),Kami Garcia
9780141326092,", By (author)",Margaret Stohl
9780141326108,By (author),Kevin Brooks
9780141328034,By (author),Eoin Colfer
9780141328294,By (author),Jay Asher
9780141328522,By (author),Richelle Mead
9780141329017,By (author),Hans Christian Andersen
9780141329017,", Translated by",Naomi Lewis
9780141329017,", Introduction by",Jan Pienkowski
9780141329505,By (author),Rick Riordan
9780141329819,By (author),J M Barrie
9780141329994,By (author),Rick Riordan
9780141331010,By (author),Jeff Kinney
9780141331201,By (author),Jacob Grimm
9780141331201,", By (author)",Brothers Grimm
9780141331201,", Illustrated by",George Cruikshank
9780141331331,By (author),E. B. White
9780141331355,By (author),Phil Earle
9780141331362,By (author),Phil Earle
9780141331973,By (author),Jeff Kinney
9780141332130,By (author),Rachel Bright
9780141333090,By (author),Ally Condie
9780141333663,By (author),Beth Revis
9780141334783,By (author),Ally Condie
9780141335261,By (author),Margaret Stohl
9780141335261,", By (author)",Kami Garcia
9780141335278,By (author),Kami Garcia
9780141335278,", By (author)",Margaret Stohl
9780141335674,By (author),Rick Riordan
9780141335889,By (author),Ruta Sepetys
9780141339108,By (author),Eoin Colfer
9780141339115,By (author),Eoin Colfer
9780141339139,By (author),Eoin Colfer
9780141339146,By (author),Eoin Colfer
9780141339573,By (author),Marie Lu
9780141339603,By (author),Marie Lu
9780141339627,By (author),Marie Lu
9780141339665,By (author),Jeff Kinney
9780141340104,By (author),Ally Condie
9780141340135,By (author),Marissa Meyer
9780141340159,By (author),Marissa Meyer
9780141340234,By (author),Marissa Meyer
9780141340241,By (author),Marissa Meyer
9780141340760,By (author),Eoin Colfer
9780141340821,By (author),Jeff Kinney
9780141341880,By (author),Jeff Kinney
9780141343785,By (author),Eric Hill
9780141343792,By (author),Eric Hill
9780141344379,By (author),Rick Riordan
9780141345154,By (author),Jeff Kinney
9780141345246,By (author),Aesop
9780141345246,", Translated by",S. Handford
9780141345246,", Illustrated by",Brian Robb
9780141345659,By (author),John Green
9780141345833,By (author),Rick Yancey
