Book Name,Rating,Customers_Rated,Price,Reading age,Grade level,Lexile measure,Print length,Language,Dimensions,Publisher,ISBN13,frontimg,subimage1,subimage2,subimage3
The Pigeon Finds A Hotdog!,4.9,"2,818",,,,,40,English,9.17 x 0.31 x 9.13 inches,Walker Childrens Hardbacks,9781844280476,https://m.media-amazon.com/images/I/51WPD42HEVL._AC_US218_..jpg,,,
Knuffle Bunny: A Cautionary Tale Special Edition (Knuffle Bunny Series),4.9,"2,761",,,,,40,English,12 x 9 inches,Hyperion Book CH,9781423144496,https://m.media-amazon.com/images/I/81KeosC4a0L._AC_US218_..jpg,,,
The Duckling Gets A Cookie!? (Korean Edition),4.9,"2,697",,,Preschool - 1,,,Korean,,Salim Eorini/ Tsai Fong Books,9788952233479,https://m.media-amazon.com/images/I/41MAHh-T3wL._AC_US218_..jpg,,,
"The Thank You Book (An Elephant And Piggie Book) (An Elephant And Piggie Book, 25)",4.9,"2,694",,,01-Mar,330L,64,English,6.75 x 0.5 x 9.38 inches,Hyperion Books for Children,9781423178286,https://m.media-amazon.com/images/I/81bbhEksr6L._AC_US218_..jpg,,,
Can I Play Too? (An Elephant And Piggie Book),4.9,"2,361",,,Preschool - Kindergarten,180L,64,English,6.88 x 0.5 x 9.38 inches,Hyperion Books for Children,9781423119913,https://m.media-amazon.com/images/I/71qzzATaHcL._AC_US218_..jpg,,,
"Elephants Cannot Dance! (An Elephant And Piggie Book) (Elephant And Piggie Book, An, 9)",4.9,"2,222",,,Preschool - Kindergarten,150L,64,English,6.88 x 0.5 x 9.38 inches,Hyperion Books for Children,9781423114109,https://m.media-amazon.com/images/I/81Jy73G1J3L._AC_US218_..jpg,,,
The Pigeon Loves Things That Go!,4.7,"2,061",,,,,,English,6.34 x 0.46 x 5.88 inches,Scholastic,9780439809252,https://m.media-amazon.com/images/I/51ZZCGhDvnL._AC_US218_..jpg,,,
I Broke My Trunk! (An Elephant And Piggie Book),4.9,"1,770",,,Preschool - Kindergarten,,64,English,6.95 x 0.45 x 9.35 inches,Hyperion Books for Children,9781423133094,https://m.media-amazon.com/images/I/61z8K0uypdL._AC_US218_..jpg,,,
"Pigs Make Me Sneeze! (An Elephant And Piggie Book) (An Elephant And Piggie Book, 10)",4.9,"1,749",,,Preschool - Kindergarten,AD40L,64,English,6.88 x 0.5 x 9.38 inches,Hyperion Books for Children,9781423114116,https://m.media-amazon.com/images/I/51gTx6nmjPL._AC_US218_..jpg,,,
Because,4.8,"1,605",,,Preschool - Kindergarten,AD820L,40,English,10.45 x 0.5 x 10.3 inches,Hyperion Books for Children,9781368019019,https://m.media-amazon.com/images/I/91sqPAltaGL._AC_US218_..jpg,,,
"Are You Ready To Play Outside? (An Elephant And Piggie Book) (An Elephant And Piggie Book, 7)",4.9,"1,497",,,Preschool - Kindergarten,140L,64,English,6.83 x 0.5 x 9.33 inches,Hyperion Books for Children,9781423113478,https://m.media-amazon.com/images/I/41lvoSpiOSL._AC_US218_..jpg,,,
"I Will Take A Nap! (An Elephant And Piggie Book) (An Elephant And Piggie Book, 23)",4.9,"1,417",,,01-Mar,190L,64,English,6.88 x 0.5 x 9.25 inches,Hyperion Books for Children,9781484716304,https://m.media-amazon.com/images/I/81wwBv26s4L._AC_US218_..jpg,,,
I Am Invited To A Party! (An Elephant And Piggie Book),4.9,"1,390",,,Preschool - Kindergarten,210L,64,English,6.88 x 0.5 x 9.38 inches,Hyperion Books for Children,9781423106876,https://m.media-amazon.com/images/I/81SNl8McuOL._AC_US218_..jpg,,,
"I Will Surprise My Friend! (An Elephant And Piggie Book) (Elephant And Piggie Book, An)",4.9,"1,294",,,Preschool - Kindergarten,,64,English,6.88 x 0.5 x 9.38 inches,Hyperion Books for Children,9781423109624,https://m.media-amazon.com/images/I/51kONt2mbeL._AC_US218_..jpg,,,
My New Friend Is So Fun! (An Elephant And Piggie Book),4.9,"1,243",,,01-Mar,240L,64,English,6.75 x 0.5 x 9.38 inches,Hyperion Books for Children,9781423179580,https://m.media-amazon.com/images/I/81bM8nzbxnS._AC_US218_..jpg,,,
My Friend Is Sad (An Elephant And Piggie Book),4.9,"1,231",,,Preschool - Kindergarten,,64,English,6.75 x 0.45 x 9.3 inches,Hyperion Books for Children,9781423102977,https://m.media-amazon.com/images/I/71hasu0xRbL._AC_US218_..jpg,,,
"A Big Guy Took My Ball! (An Elephant And Piggie Book) (Elephant And Piggie Book, An, 19)",4.9,"1,204",,,01-Mar,AD270L,64,English,6.88 x 0.5 x 9.38 inches,Hyperion Books for Children,9781423174912,https://m.media-amazon.com/images/I/81byFJrTcDL._AC_US218_..jpg,,,
Knuffle Bunny Too (English And Korean Edition),4.9,"1,197",,,,AD690L,48,"English, Korean",12.2 x 0.4 x 9 inches,Salim Eorini/Tsai Fong Books,9788952209481,https://m.media-amazon.com/images/I/51ZNSXLyJRL._AC_US218_..jpg,,,
Knuffle Bunny Free: Un Unexpected Diversion (Knuffle Bunny Series),4.9,"1,173",,,Preschool - 3,AD530L,52,English,9.26 x 12.34 x 0.47 inches,Balzer + Bray,9780061929588,https://m.media-amazon.com/images/I/518GZsuj0CL._AC_US218_..jpg,,,
Goldilocks And The Three Dinosaurs,4.8,"1,173",,,,,,English,9.29 x 0.35 x 11.26 inches,Walker Books Ltd,9781406347296,https://m.media-amazon.com/images/I/51ZXxnKo2hL._AC_US218_..jpg,,,
"Happy Pig Day! (An Elephant And Piggie Book) (An Elephant And Piggie Book, 15)",4.9,"1,143",,,Preschool - Kindergarten,170L,64,English,6.8 x 0.5 x 9.3 inches,Hyperion Books for Children,9781423143420,https://m.media-amazon.com/images/I/81X+AYo70bL._AC_US218_..jpg,,,
"I'M A Frog! (An Elephant And Piggie Book) (Elephant And Piggie Book, An, 20)",4.9,"1,057",,,01-Mar,180L,64,English,6.75 x 0.45 x 9.2 inches,Hyperion Books for Children,9781423183051,https://m.media-amazon.com/images/I/61EcqhHrgfL._AC_US218_..jpg,,,
"I Lost My Tooth! (An Unlimited Squirrels Book) (Unlimited Squirrels, 1)",4.8,953,,,Preschool - 3,420L,96,English,6.88 x 0.63 x 9.38 inches,Hyperion Books for Children,9781368024570,https://m.media-amazon.com/images/I/8198q3FmZcL._AC_US218_..jpg,,,
Mog The Forgetful Cat,4.7,"2,136",,,Kindergarten - 2,470L,40,English,8.5 x 0.3 x 11 inches,HarperCollinsChildren’sBooks,9780007171347,https://m.media-amazon.com/images/I/51ZJ6tGCcNL._SY300_.jpg,,,
"Mog’S Christmas: The Illustrated Adventures Of The Nation’S Favourite Cat, From The Author Of The Tiger Who Came To Tea",4.8,"1,005",,,,470L,32,English,8.66 x 0.08 x 11.02 inches,HarperCollinsChildren’sBooks,9780007347056,https://m.media-amazon.com/images/I/51cQRA2a83L._SY300_.jpg,,,
"Goodbye Mog: The Illustrated Adventures Of The Nation’S Favourite Cat, From The Author Of The Tiger Who Came To Tea",4.7,432,,,,,32,English,8.66 x 0.12 x 11.02 inches,HarperCollinsChildren’sBooks,9780007149698,https://m.media-amazon.com/images/I/5170fiIjyzL._SY300_.jpg,,,
Mog And The Baby,4.7,414,,,Kindergarten - 2,,32,English,8.66 x 0.12 x 11.02 inches,HarperCollinsChildren’sBooks,9780007171323,https://m.media-amazon.com/images/I/51LoSZRqEUL._SY300_.jpg,,,
Mog And Bunny,4.9,338,,,Kindergarten - 2,510L,32,English,8.5 x 0.16 x 11 inches,HarperCollins UK,9780007171309,https://m.media-amazon.com/images/I/51y57hRFecL._SY300_.jpg,,,
Mog And The Granny,4.8,196,,,Kindergarten - 2,,32,English,8.75 x 0.25 x 11 inches,HarperCollins UK,,https://m.media-amazon.com/images/I/51ARgnR9CGL._SY300_.jpg,,,
Mog In The Dark,4.5,188,,,Kindergarten - 2,240L,48,English,8.5 x 0.2 x 11 inches,HarperCollinsChildren’sBooks,9780007171330,https://m.media-amazon.com/images/I/41uc7p0fwwL._SY300_.jpg,,,
"Mog On Fox Night: The Illustrated Adventures Of The Nation’S Favourite Cat, From The Author Of The Tiger Who Came To Tea",4.8,167,,,Kindergarten - 2,500L,32,English,0.08 x 8.66 x 11.02 inches,HarperCollinsChildren’sBooks,9780007171361,https://m.media-amazon.com/images/I/517SYKva+fL._SY300_.jpg,,,
