isbn,Series,name,Rating,Review,Type of Book,Age Level,Grade Level,Lexile Score,Number of Pages,Language,Size,Publisher,Publication Date,ISBN 10,ISBN 13,Author ,Author 2,Author 3,Main Image,Image 2,Image 3
9781452170336,,Tiny T. Rex and the Impossible Hug,4.8,"5,752",Hardcover,"2 - 5 years, from customers",Preschool - Kindergarten,AD460L,48 pages,English,9.3 x 0.6 x 9.35 inches,Chronicle Books,"March 5, 2019",1452170339,978-1452170336,Jonathan Stutzman,Jay Fleck,Not known,https://m.media-amazon.com/images/I/51S3Aqa2FHL._US218_.jpg,https://m.media-amazon.com/images/I/319CgCiNwpL._US218_.jpg,https://m.media-amazon.com/images/I/418ESlBrgvL._US218_.jpg
9781933718002,,The Kissing Hand (The Kissing Hand Series),4.9,"7,599",Hardcover,"2 - 6 years, from customers",Preschool - 3,Not known,32 pages,English,8 x 0.4 x 10 inches,Tanglewood,"October 15, 1993",9781933718002,978-1933718002,Audrey Penn,Ruth Harper,Not known,https://m.media-amazon.com/images/I/51R27R4XSKL._US218_.jpg,https://m.media-amazon.com/images/I/51GKx5dWKjL._US218_.jpg,https://m.media-amazon.com/images/I/419LknSwlqL._US218_.jpg
9780689807480,,"Good Dog, Carl : A Classic Board Book",4.9,"2,912",Board book,"1 - 3 years, from customers",Preschool and up,Not known,36 pages,English,4.31 x 0.8 x 5.63 inches,Little Simon,"February 1, 1996",689807481,978-0689807480,"Alexandra Day(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51jMYbR4ziL._US218_.jpg,https://m.media-amazon.com/images/I/51HIJeeusZL._US218_.jpg,https://m.media-amazon.com/images/I/41ABrASAGyL._US218_.jpg
9780008164621,,The Midnight Gang [Paperback],4.7,"11,805",Paperback,"8 - 11 years, from customers",Not known,Not known,Not known,English,5.08 x 1.5 x 7.8 inches,HARPER COLLINS,"November 22, 2016",8164622,978-0008164621,WALLIAMS DAVID,Not known,Not known,https://m.media-amazon.com/images/I/518U8yKsCrS._US218_.jpg,https://m.media-amazon.com/images/I/51jtCURQ0YL._US218_.jpg,https://m.media-amazon.com/images/I/41auiRyuJoL._US218_.jpg
9788172345198,,The Diary of a Young Girl,4.7,"42,099",Paperback,Not known,Not known,Not known,280 pages,English,7.99 x 10 x 1.85 inches,Prakash Book Depot,"February 2, 2015",8172345194,978-8172345198,Anne Frank,Not known,Not known,https://m.media-amazon.com/images/I/41zswOGxk9S._US218_.jpg,https://m.media-amazon.com/images/I/415T7YazI+L._US218_.jpg,https://m.media-amazon.com/images/I/41BdArsfLbL._US218_.jpg
9781406394023,,Rain Before Rainbows,4.6,"1,317",Paperback,"3 - 7 years, from customers",Not known,Not known,Not known,English,9.84 x 0.2 x 11.02 inches,WALKER BOOKS,"May 1, 2021",1406394025,978-1406394023,Halls  Smriti,Not known,Not known,https://m.media-amazon.com/images/I/61m8u07DwDL._US218_.jpg,https://m.media-amazon.com/images/I/51rzLDkjEoL._US218_.jpg,https://m.media-amazon.com/images/I/41cbL61aNYL._US218_.jpg
9781452150130,,They All Saw a Cat (Brendan Wenzel),4.8,"2,814",Hardcover,"2 - 5 years, from customers",Preschool - Kindergarten,AD310L,44 pages,English,9.5 x 0.5 x 11.5 inches,Chronicle Books,"August 30, 2016",1452150133,978-1452150130,Brendan Wenzel,Not known,Not known,https://m.media-amazon.com/images/I/41Qo1cquOSL._US218_.jpg,https://m.media-amazon.com/images/I/41W52iNQvVL._US218_.jpg,https://m.media-amazon.com/images/I/41CnAW8ulgL._US218_.jpg
9780689711732,,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",4.8,"6,673",Paperback,"3 - 7 years, from customers",4 - 6,AD840L,32 pages,English,10 x 0.2 x 7.5 inches,Atheneum Books for Young Readers,"July 15, 1987",689711735,978-0689711732,Judith Viorst,Ray Cruz,Not known,https://m.media-amazon.com/images/I/51vk-8OK7lL._US218_.jpg,https://m.media-amazon.com/images/I/5123IIwredL._US218_.jpg,https://m.media-amazon.com/images/I/41cPqZ5n63L._US218_.jpg
9781338732870,,The Ickabog,4.7,"18,139",Hardcover,"9+ years, from customers",3 and up,1090L,304 pages,English,6.25 x 1.25 x 9.5 inches,Scholastic Inc.,"November 10, 2020",1338732870,978-1338732870,J. K. Rowling,Not known,Not known,https://m.media-amazon.com/images/I/41ICsxRxTaL._US218_.jpg,https://m.media-amazon.com/images/I/41ku29ETUjL._US218_.jpg,https://m.media-amazon.com/images/I/41EGOZN9mPL._US218_.jpg
9780755501502,,The Great Realisation: The post-pandemic poem that has captured the hearts of millions,4.8,"1,372",Hardcover,4 - 7 years,Not known,Not known,Not known,English,8.9 x 0.35 x 8.9 inches,Egmont,"September 3, 2020",755501500,978-0755501502,Tomos Roberts (Tomfoolery),Not known,Not known,https://m.media-amazon.com/images/I/51rZrGdOnkL._US218_.jpg,https://m.media-amazon.com/images/I/41vxlmtVXOL._US218_.jpg,https://m.media-amazon.com/images/I/41EjQLMhvRL._US218_.jpg
9781783704231,,The Colour Monster,4.8,"6,021",Paperback,2 - 6 years,Not known,Not known,Not known,English,9.76 x 0.28 x 9.8 inches,Templar Publishing,"January 1, 1823",1783704233,978-1783704231,Not known,Not known,Not known,https://m.media-amazon.com/images/I/51mslLglcoL._US218_.jpg,https://m.media-amazon.com/images/I/317a-aIgIcL._US218_.jpg,https://m.media-amazon.com/images/I/41EZZkS-fqL._US218_.jpg
9780316126441,,The Jolly Postman,4.8,"4,947",Hardcover,"2 - 7 years, from customers",Preschool - 3,NP,32 pages,English,8 x 0.5 x 10.5 inches,LB Kids,"September 1, 2001",274999218,978-0316126441,Allan Ahlberg,Janet Ahlberg,Not known,https://m.media-amazon.com/images/I/51CQmjIz27S._US218_.jpg,https://m.media-amazon.com/images/I/51cTu2bKdMS._US218_.jpg,https://m.media-amazon.com/images/I/41g1PMsqVbS._US218_.jpg
