isbn,Series,name,Rating,Review,Type of Book,Age Level,Grade Level,Lexile Score,Number of Pages,Language,Size,Publisher,Publication Date,ISBN 10,ISBN 13,Author ,Author 2,Author 3,Main Image,,Image 3
9781419751103,A Hello!Lucky Book,School Is Cool! (A Hello!Lucky Book),4.7,318,Hardcover,"Baby - 3 years, from customers",Preschool and up,Not known,32 pages,English,10.1 x 0.55 x 10.2 inches,Harry N. Abrams,"July 13, 2021",1419751107,9781419751103,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/519Zqc+owwL._US218_.jpg,https://m.media-amazon.com/images/I/31v8imHaeTS._US218_.jpg,https://m.media-amazon.com/images/I/41zyuxQksCS._US218_.jpg
9781419755569,A Hello!Lucky Book,Hang in There! (A Hello!Lucky Book),2.7,2,Hardcover,"Baby - 3 years, from customers",Preschool and up,Not known,32 pages,English,9.88 x 0.38 x 9.88 inches,Harry N. Abrams,"May 3, 2022",1419755560,9781419755569,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/61xFKFD19rL._US218_.jpg,https://m.media-amazon.com/images/I/3118EHDIK3L._US218_.jpg,https://m.media-amazon.com/images/I/31uFSE-a1xL._US218_.jpg
B078WNSB8V,A Hello!Lucky Book,My Dad Is Amazing! (A Hello!Lucky Book),4.9,"5,077",Board book,"Baby - 3 years, from customers",Preschool and up,Not known,24 pages,English,7 x 0.63 x 7 inches,Abrams Appleseed,"April 3, 2018",1419729616,9781419729614,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/514LoczxeEL._US218_.jpg,https://m.media-amazon.com/images/I/51muKRbPoiL._US218_.jpg,https://m.media-amazon.com/images/I/51rOZuGlb1L._US218_.jpg
B078WR254G,A Hello!Lucky Book,My Mom Is Magical! (A Hello!Lucky Book),4.8,"2,486",Board book,"Baby - 3 years, from customers",Preschool and up,Not known,24 pages,English,7 x 0.65 x 7 inches,Harry N. Abrams,"March 6, 2018",1419729624,9781419729621,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/51psN4awIEL._US218_.jpg,https://m.media-amazon.com/images/I/51uFql+rvlL._US218_.jpg,https://m.media-amazon.com/images/I/51lzoikxbLL._US218_.jpg
B07BFX264F,A Hello!Lucky Book,Super Pooper and Whizz Kid (A Hello!Lucky Book): Potty Power!,4.8,832,Board book,"Baby - 3 years, from customers",Preschool and up,Not known,24 pages,English,8.05 x 0.7 x 8.05 inches,Harry N. Abrams,"August 14, 2018",1419731572,9781419731570,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/61MN4aM+B9L._US218_.jpg,https://m.media-amazon.com/images/I/61+-eFI6SFL._US218_.jpg,https://m.media-amazon.com/images/I/31zdPd-OSEL._US218_.jpg
B07H2GH5JR,A Hello!Lucky Book,Kindness Rules! (A Hello!Lucky Book),4.9,552,Board book,"Baby - 3 years, from customers",Preschool and up,Not known,24 pages,English,7.95 x 0.65 x 8 inches,Harry N. Abrams,"April 9, 2019",1419734261,9781419734267,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/51PV6-ObrEL._US218_.jpg,,
B07P124SH8,A Hello!Lucky Book,Christmas Is Awesome! (A Hello!Lucky Book),4.8,180,Board book,"Baby - 3 years, from customers",Preschool and up,Not known,24 pages,English,7 x 0.65 x 6.95 inches,Harry N. Abrams,"October 15, 2019",141973427X,9781419734274,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/61cTJwk84QL._US218_.jpg,https://m.media-amazon.com/images/I/31Z-LKOIIbL._US218_.jpg,https://m.media-amazon.com/images/I/41VROh-nG1L._US218_.jpg
B08526LVC8,A Hello!Lucky Book,Sloth and Smell the Roses (A Hello!Lucky Book),4.8,285,Board book,"Baby - 3 years, from customers",Preschool and up,Not known,24 pages,English,8 x 0.5 x 8 inches,Harry N. Abrams,"January 12, 2021",1419740490,9781419740497,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/51jlXhoRiNL._US218_.jpg,https://m.media-amazon.com/images/I/31IVw4qkkgL._US218_.jpg,https://m.media-amazon.com/images/I/411a98vjahL._US218_.jpg
B08K42V6DS,A Hello!Lucky Book,You Are Fantastic! (A Hello!Lucky Book),4.8,532,Board book,"Baby - 3 years, from customers",Preschool and up,Not known,24 pages,English,7.15 x 0.6 x 7.15 inches,Harry N. Abrams,"April 27, 2021",1419739654,9781419739651,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/51Rxm5BqYVL._US218_.jpg,https://m.media-amazon.com/images/I/51tvKYeZxYL._US218_.jpg,https://m.media-amazon.com/images/I/31f+ZOE9f1L._US218_.jpg
B08WJVC4X1,A Hello!Lucky Book,Bananas for You! (A Hello!Lucky Book),4.9,300,Board book,"Baby - 3 years, from customers",Preschool and up,Not known,24 pages,English,6.95 x 0.65 x 7 inches,Harry N. Abrams,"December 28, 2021",1419751077,9781419751073,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/51MNrJ8foYL._US218_.jpg,https://m.media-amazon.com/images/I/21HI6GKG-sL._US218_.jpg,https://m.media-amazon.com/images/I/316+XOFCsIL._US218_.jpg
