ISBN13,Role,Name
9781406358780,Illustrator,Anita Jeram
9781862308251,Author,Nicholas Allan
9781862308251,IllustratorEdited by,Sue Buswell
9781846432750,Illustrated by,Rachel Fuller
9781408331644,Author,Rachel Bright
9781408331644,Illustrator,Jim Field
9781406308129,Author,Mo Willems
9780064431781,Author,Maurice Sendak
9781444919592,Author,Kes Gray
9781444919592,IllustratorAuthor,Claire Gray
9781444919592,Illustrator,Jim Field
9781465414052,Author,Dk
9781407170725,Author,Julia Donaldson
9781407170725,Illustrator,Axel Scheffler
9781406342864,Author,Sam McBratney
9781406342864,Illustrator,Anita Jeram
9781409549925,Author,Anna Milbourne
9781409549925,Illustrator,Simona Dimitri
9780723264583,Author,Eric Hill
9781409586692,Author,James Maclaine
9781409586692,IllustratorAuthor,Lucy Bowman
9781409586692,Illustrator,Erica Harrison
9781860399138,Author,Giles Andreae
9781860399138,Illustrator,David Wojtowycz
9781407170732,Author,Julia Donaldson
9781407170732,Illustrator,Axel Scheffler
9781408334010,Author,Mike Brownlow
9781408334010,Illustrator,Simon Rickerty
9780064434997,Author,Sheena Knowles
9780064434997,Illustrator,Rod Clement
9781250017970,Author,Nancy Tillman
9780007455331,Author,Katherine Applegate
9781841210681,Author,Giles Andreae
9781841210681,Illustrator,Vanessa Cabban
9780307931801,Author,Dr. Seuss
9780679882824,Author,Dr. Seuss
9780140506396,Author,Allan Ahlberg
9780140506396,IllustratorAuthor,Janet Ahlberg
9781409550013,Author,Sam Baer
9781409550013,Illustrator,Nathalie Ragondet
9780547076690,Author,Jackie French
9780547076690,Illustrator,Bruce Whatley
9781407170763,Author,Julia Donaldson
9781407170763,Illustrator,Axel Scheffler
9780679806639,Author,Richard Scarry
9780723292111,Author,Peppa Pig
9780375812026,Author,Richard Scarry
9780486254500,Author,A. G. Smith
9781409556626,Author,Fiona Watt
9781409556626,Illustrator,Stella Baggott
9781841211015,Author,Giles Andreae
9781841211015,Illustrator,David Wojtowycz
9780803730472,Author,Julia Donaldson
9780803730472,Illustrator,Axel Scheffler
9780316043472,Author,Todd Parr
9780064430173,Author,Margaret Wise Brown
9780064430173,Illustrator,Clement Hurd
9781406353433,Author,Jon Klassen
9781849154208,Author,Roger Priddy
9781409597704,Author,Sam Taplin
9781409597704,Illustrator,Federica Iossa
9781409581895,Author,Fiona Watt
9781409581895,Illustrator,Erica Harrison
9780064431620,Author,Eric Carle
9780982993804,Author,JoAnn Deak
9780982993804,Illustrator,Sarah Ponce
9780007236336,Author,Michael Bond
9780007236336,Illustrator,R. W. Alley
9780545215787,Author,Norman Bridwell
9780140501735,Author,Don Freeman
9781409302209,Author,Andrea Pinnington
9780140544510,Author,Jon Scieszka
9780140544510,IllustratorAuthor,Lane Smith
9780007251940,Author,Michael Bond
9780007251940,Illustrator,R. W. Alley
9780723266334,Author,Eric Hill
9781442434325,Author,Mem Fox
9781442434325,Illustrator,Steve Jenkins
9780746071489,Author,Fiona Watt
9780746071489,Illustrator,Rachel Wells
9780007182343,Author,Oliver Jeffers
9781407170756,Author,Julia Donaldson
9781407170756,Illustrator,Axel Scheffler
9780007158560,Author,Dr. Seuss
9781741144888,Author,Alison Lester
9780007584611,Author,Oliver Jeffers
9781844282968,Author,Peter H. Reynolds
9780007182312,Author,Oliver Jeffers
9780679882800,Author,Dr. Seuss
9781860396601,Author,Giles Andreae
9781860396601,Illustrator,David Wojtowycz
9780316070409,Author,Todd Parr
9780230757653,Author,Rod Campbell
9780152000769,Author,Mem Fox
9780152000769,IllustratorAuthor,Pamela Loftus
9781409597698,Author,Sam Taplin
