id,guid,name,image,isbn,rating,review_count,book_format,language,price,description,stock_available,amazon_bestseller,bestseller_age1,bestseller_age2,bestseller_age3,bestseller_age4,bestseller_age5,bestseller_age6,most_borrowed,borrowed_age1,borrowed_age2,borrowed_age3,borrowed_age4,borrowed_age5,borrowed_age6,suggestion_age1,suggestion_age2,suggestion_age3,suggestion_age4,suggestion_age5,suggestion_age6,tag1,series_id,age_group_1,age_group_2,age_group_3,age_group_4,age_group_5,age_group_6
62,,Diary of a Wimpy Kid: The Getaway (Book 12),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141376677.jpg,9780141376677,4.36,"30,932",Hardback,English,"₹ 1,614.99","The new hilarious story from Jeff Kinney is the best yet in the brilliant, bestselling Diary of a Wimpy Kid series! Greg Heffley and his family are getting out of town. With the cold weather setting in and the stress of the Christmas holiday approaching, the Heffleys decide to escape to a tropical island resort for some much-needed rest and relaxation. A few days in paradise should do wonders for Greg and his frazzled family. But the Heffleys soon discover that paradise isn't everything it's cracked up to be. Sun-poisoning, stomach troubles and venomous creatures all threaten to ruin the family's vacation. Can their trip be saved, or will this island getaway end in disaster? Whether a loyal fan already or new to the Wimpy Kid books, THE GETAWAY is the perfect book for young readers this Christmas. With engaging writing, hilarious illustrations on every page and an action-packed holiday-based plot, THE GETAWAY is a winner. Praise for Jeff Kinney: 'The world has gone crazy for Jeff Kinney's Diary of a Wimpy Kid' - Sun 'Kinney is right up there with J K Rowling as one of the bestselling children's authors on the planet' - Independent 'The most hotly anticipated children's book of the year is here - Diary of a Wimpy Kid' - Big Issue 'Hilarious' - Telegraph",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Diary of a Wimpy Kid,14562,0,0,0,1,1,1
63,,Diary of a Wimpy Kid: The Meltdown (Book 13),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2413/9780241321980.jpg,9780241321980,4.37,"23,011",Hardback,English,"₹ 1,141.23","THE ONE WITH THE WINTER BATTLE! The thirteenth laugh-out-loud, fully-illustrated Diary of a Wimpy Kid book from #1 international bestselling author Jeff Kinney! A global phenomenon with 250 million copies of the series sold worldwide! Snow has shut down Greg Heffley's middle school! It should be exciting, but now his neighbourhood is a wintry battlefield, with Greg and his best friend Rowley caught in the crosshairs of territory battles, epic snowball fights and massive snow forts. Can Greg and Rowley navigate the art of war when their street goes into meltdown? Or will they even survive to see another day? WHAT'S IN DIARY OF A WIMPY KID? 50% words, 50% cartoons, 100% hilarious! Stories that all readers can't wait to get their hands on Laughter guaranteed! *BRAND NEW* DIARY OF A WIMPY KID: THE DEEP END IS OUT NOW! And DON'T MISS an all-new fantasy from Greg's best friend in Rowley Jefferson's Awesome Friendly Adventure, the follow-up to the instant #1 bestseller Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal. 'Kinney is right up there with J K Rowling as one of the bestselling children's authors on the planet' Independent Have you read all the DIARY OF A WIMPY KID series? Diary of a Wimpy Kid Diary of a Wimpy Kid: Roderick Rules Diary of a Wimpy Kid: The Last Straw Diary of a Wimpy Kid: Dog Days Diary of a Wimpy Kid: The Ugly Truth Diary of a Wimpy Kid: Cabin Fever Diary of a Wimpy Kid: The Third Wheel Diary of a Wimpy Kid: Hard Luck Diary of a Wimpy Kid: The Long Haul Diary of a Wimpy Kid: Old School Diary of a Wimpy Kid: Double Down Diary of a Wimpy Kid: The Getaway Diary of a Wimpy Kid: The Meltdown Diary of a Wimpy Kid: Wrecking Ball Diary of a Wimpy Kid: The Deep End - the BRAND NEW Wimpy Kid book - out now!!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Diary of a Wimpy Kid,14562,0,0,0,1,1,1
64,,Diary of a Wimpy Kid: Wrecking Ball (Book 14),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2414/9780241412039.jpg,9780241412039,4.41,"20,242",Hardback,English,"₹ 1,523.20","Book 14 of the Diary of a Wimpy Kid series - from #1 international bestselling author Jeff Kinney. In Wrecking Ball, an unexpected inheritance gives the Heffley family a chance to make major improvements to their home. But they soon find that construction isn't all it's cracked up to be. When things get rough, will the Heffleys be able to stay . . . or will they be forced to move? And don't miss Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal - the instant #1 bestseller, told from Rowley's perspective!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Diary of a Wimpy Kid,14562,0,0,0,1,1,1
65,,Diary of a Wimpy Kid: The Deep End (Book 15),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2414/9780241424148.jpg,9780241424148,4.35,"16,087",Hardback,English,"₹ 1,407.47","In The Deep End, book 15 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley and his family hit the road for a cross-country camping trip, ready for the adventure of a lifetime. But things take an unexpected turn, and they find themselves stranded at a campsite that's not exactly a summertime paradise. When the skies open up and the water starts to rise, the Heffleys wonder if they can save their vacation - or if they're already in too deep. And don't miss Rowley Jefferson's Awesome Friendly Adventure, an all-new fantasy from Greg's best friend - the follow-up to the instant #1 bestseller Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Diary of a Wimpy Kid,14562,0,0,0,1,1,1
66,,Diary of a Wimpy Kid: Big Shot (Book 16),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2413/9780241396650.jpg,9780241396650,4.25,"6,024",Hardback,English,"₹ 1,292.72","In Big Shot, book 16 of the hilarious Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley and sports just don't mix. After a disastrous competition at school, Greg decides that he's officially retired from ANY kind of sport! That is, until his mom persuades him to give it one more go and makes Greg reluctantly agree to sign up for basketball. Tryouts are a MESS, and Greg is sure he won't make the cut. But he unexpectedly lands a spot on the worst team. As Greg and his new teammates start the season, their chances of winning even a single game look slim. But in sports, anything can happen. When everything is on the line and the ball is in Greg's hands, will he rise to the occasion? Or will he blow his big shot? See the Wimpy Kid World in a whole new way with the help of Greg Heffley's best friend in the instant #1 bestsellers Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal, Rowley Jefferson's Awesome Friendly Adventure and Rowley Jefferson's Awesome Friendly Spooky Stories! WHAT'S IN DIARY OF A WIMPY KID? 50% words, 50% cartoons, 100% hilarious! Stories that all readers can't wait to get their hands on Laughter guaranteed! Have you read all the DIARY OF A WIMPY KID series? Diary of a Wimpy Kid Diary of a Wimpy Kid: Roderick Rules Diary of a Wimpy Kid: The Last Straw Diary of a Wimpy Kid: Dog Days Diary of a Wimpy Kid: The Ugly Truth Diary of a Wimpy Kid: Cabin Fever Diary of a Wimpy Kid: The Third Wheel Diary of a Wimpy Kid: Hard Luck Diary of a Wimpy Kid: The Long Haul Diary of a Wimpy Kid: Old School Diary of a Wimpy Kid: Double Down Diary of a Wimpy Kid: The Getaway Diary of a Wimpy Kid: The Meltdown Diary of a Wimpy Kid: Wrecking Ball Diary of a Wimpy Kid: Big Shot - The hilarious BRAND NEW novel - pre-order now!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Diary of a Wimpy Kid,14562,0,0,0,1,1,1
67,,Diary of a Wimpy Kid: Diper OEverloede (Book 17),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2415/9780241583081.jpg,9780241583081,4.26,"1,337",Hardback,English,"₹ 1,112.52","In Diper OEverloede, book 17 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley is finding out that the road to fame and glory comes with some hard knocks. When he decides to tag along with his brother Rodrick's band, Loeded Diper, Greg doesn't realize what he's getting into. But he soon learns that late nights, unpaid gigs, fighting between band members, and money troubles are all part of the rock 'n' roll lifestyle. Can Greg help Loeded Diper become the legends they think they are? Or will too much time with Rodrick's band be a diper oeverloede?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Diary of a Wimpy Kid,14562,0,0,0,1,1,1
68,,The Wimpy Kid Movie Diary : The Next Chapter,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4197/9781419727528.jpg,9781419727528,4.34,"1,969",Hardback,English,"₹ 1,984.60","GO ON A MOVIE-MAKING JOURNEY OF EPIC PROPORTIONS IN THE WIMPY KID MOVIE DIARY: THE NEXT CHAPTER Making a movie is a lot like going on a road trip. There are twists and turns and lots of surprises along the way. Hit the road with author and illustrator Jeff Kinney and get a behind-the-scenes look at the making of the latest 20th Century Fox movie, Diary of a Wimpy Kid: The Long Haul. Find out what it takes to film a flock of seagulls invading a minivan. Learn about a robot pig and an animatronic three-year-old. And discover everything that goes into making a feature film. Complete with exclusive set photos, storyboards, and original cartoons by Jeff Kinney, The Wimpy Kid Movie Diary: The Next Chapter is the perfect book for anyone who's ever wondered how a movie gets made. But buckle up: You're in for a wild ride! Also Available: The Wimpy Kid 2019 Wall Calendar (ISBN: 978-1-4197-3007-8)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
69,,Dork Diaries 3 1/2 : How to Dork Your Diary,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8570/9780857079800.jpg,9780857079800,4.25,"14,225",Paperback,English,"₹ 1,732.75",Not available,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
70,,Dork Diaries Pop Star Pa,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8570/9780857079794.jpg,9780857079794,4.27,"44,101",Paperback,English,₹ 816.97,Not available,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
71,,Dork Diaries TV Star,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471145537.jpg,9781471145537,4.35,"17,934",Paperback,English,₹ 869.04,Not available,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
72,,Dork Diaries: Holiday Heartbreak,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471117664.jpg,9781471117664,4.36,"24,143",Hardback,English,"₹ 1,718.33","It's the biggest dance of the year and Nikki Maxwell is hoping her crush, Brandon, wants to be her date. But time is running out. What if he doesn't want to go with her? Or worse - what if he ends up going with Mackenzie?!! In the sixth book in the blockbuster Dork Diaries series - now with more than 8 million copies in print - join Nikki, Chloe and Zoey as they tackle the topic of love, Dork Diaries style! Another brilliant book by Rachel Renee Russell, author of The Misadventures of Max Crumbly.",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
73,,Dork Diaries: Skating Sensation,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8570/9780857071194.jpg,9780857071194,4.33,"27,062",Paperback,English,₹ 816.97,"Nikki Maxwell isn't surprised to find out that her crush Brandon volunteers at a local animal shelter. He's such a sweet guy - of course he wants to help those adorable puppies. Then Brandon tells her that the shelter is closing and all the animals will soon be homeless! So when she discovers her school is holding a skating competition to raise money for charity, Nikki decides to enter with her BFFs Chloe and Zoey to help the shelter. The only problem is that Nikki can't skate...Will she be able to transform from a dork-on-ice to an ice-princess in time to win the competition and save the day?",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
74,,Tales from a Not-So-Fabulous Life,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/6063/9780606324199.jpg,9780606324199,4.13,"83,733",Hardback,English,"₹ 2,859.33","Dork Diaries follows eighth grader Nikki Maxwell as she chronicles through text and sketches her move to a snooty new school; her epic battle with her mom for an iPhone; her enthusiasm for drawing and art; and a love/hate fascination with the new school s queen bee, a girl named Mackenzie, who becomes Nikki s rival in a schoolwide art competition. Nikki writes about friendships, crushes, popularity, and family with a unique and fresh voice that still conveys a universal authenticity. Nikki s sketches throughout her diary add humor and spunk to the book, a surefire hit with tween girl readers.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
75,,Dork Diaries 2 : Tales from a Not-So-Popular Party Girl,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4169/9781416980087.jpg,9781416980087,4.24,"57,083",Hardback,English,"₹ 1,666.90","Nikki Maxwell is torn between two incredible parties in this second installment of the #1 New York Times bestselling Dork Diaries series! Recipe for disaster: 4 parties. Add 2 friends and 1 crush. Divide by 1 mean girl out to RUIN Nikki. Mix well, put fingers over eyes, and CRINGE! Settled in at her new school and flanked by awesome friends Chloe and Zoey, life is looking up for Nikki Maxwell, especially since her crush, Brandon, asked her to be his lab partner--a seriously awesome development. However, when Nikki overhears mean girl MacKenzie bragging that Brandon's taking her to the Halloween dance, a bummed Nikki signs on to spend Halloween at a kids' party with her little sister, Brianna, instead. After she finds out Mackenzie was lying and her dream of going to the party with Brandon could be a reality, Nikki has two events to juggle...plus plenty of other entertaining trials and tribulations along the way!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
76,,Dork Diaries 5 : Tales from a Not-So-Smart Miss Know-It-All,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4423/9781442355880.jpg,9781442355880,4.37,"29,694",,English,₹ 852.32,"Nikki Maxwell authors an advice column for the school newspaper in this fifth installment of the #1 New York Times bestselling Dork Diaries series! Nikki Maxwell develops a sudden interest in student journalism that may or may not (okay, definitely does) have to do with the fact that mean girl MacKenzie has started writing a gossip column. So Nikki joins the school newspaper staff-and ends up as an advice columnist! It's fun at first, answering other kids' letters. But when Miss Know-It-All's inbox is suddenly overflowing with pleas for guidance, Nikki feels in need of some help herself!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
77,,Dork Diaries 8 : Tales from a Not-So-Happily Ever After,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4814/9781481421843.jpg,9781481421843,4.25,"14,430",Hardback,English,"₹ 1,728.25","Nikki Maxwell's favorite fairy tales get dork-tastic twists in this eighth installment of the #1 New York Times bestselling Dork Diaries series! After a bump on the head in gym class on April Fool's Day, Nikki has a wild dream in which she, her BFFs Chloe and Zoey, her crush Brandon, and mean girl MacKenzie all end up playing the roles of some familiar classic fairy tale characters. Of course, the stories don't go quite as expected--because they each have a very special Dork Diaries spin!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
78,,Dork Diaries 9 : Tales from a Not-So-Dorky Drama Queen,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4424/9781442487697.jpg,9781442487697,4.33,"10,527",Hardback,English,"₹ 1,743.15",Nikki Maxwell's worst nightmare comes true in this ninth installment of the #1 New York Times bestselling Dork Diaries series! A certain member of the CCP girls Dork fans know all about has gotten her hands on Nikki's diary and has decided to share some thoughts of her own...Find out what happens when Nikki's worst nightmare becomes a reality. Welcome to MacKenzie's world!!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
79,,"Dork Diaries 10, 10 : Tales from a Not-So-Perfect Pet Sitter",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4423/9781442392076.jpg,9781442392076,4.28,"9,434",,English,"₹ 1,331.28",Not available,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
80,,Dork Diaries 11 : Tales from a Not-So-Friendly Frenemy,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4814/9781481479202.jpg,9781481479202,4.34,"8,448",Hardback,English,"₹ 1,628.08","It's a frenemy showdown in the eleventh installment in the blockbuster #1 New York Times bestselling Dork Diaries series! Nikki Maxwell has the worst luck. Of all the schools she could have been assigned to for the student exchange week program, she's stuck at North Hampton Hills, her archnemesis MacKenzie Hollister's new school. Even worse, there might just be someone at NHH who can out-MacKenzie MacKenzie! Can the queen of dorks survive a week at the head CCP's new school or will it be a dorky disaster?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
81,,Dork Diaries 12 : Tales from a Not-So-Secret Crush Catastrophe,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5344/9781534405608.jpg,9781534405608,4.32,"6,456",Hardback,English,"₹ 1,567.08","Nikki Maxwell has to juggle two kids' feelings in the twelfth installment in the blockbuster #1 New York Times bestselling Dork Diaries series! In Nikki Maxwell's newest diary, it's the countdown to the end of the school year, and Nikki's juggling some big questions about how she'll spend her summer. She's also facing an unexpected crush catastrophe--there's a new kid interested in Nikki, but the last thing she wants to do is accidentally hurt Brandon! It all comes down to a big decision Nikki has to make, and drama like she's never faced before!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
82,,"Dork Diaries 13, 13 : Tales from a Not-So-Happy Birthday",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5082/9781508254126.jpg,9781508254126,4.32,"5,199",,English,₹ 744.16,Not available,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Dork Diaries,244132,0,0,0,1,1,1
83,,Dork Diaries 14 : Tales from a Not-So-Best Friend Forever,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5344/9781534427204.jpg,9781534427204,4.29,"3,583",Hardback,English,"₹ 1,658.58","Nikki Maxwell's summer is packed with drama in this fourteenth installment of the #1 New York Times bestselling Dork Diaries series! Nikki and her bandmates are looking forward to an AWESOME summer on tour as the opening act for the world famous Bad Boyz! Nikki is a little worried when her frenemy, MacKenzie Hollister, weasels her way into a social media intern position with the tour. But she has a total MELTDOWN when she learns that MacKenzie is her new roommate! Will Nikki survive her dream tour as it quickly goes from AWESOME to AWFUL?!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
84,,Doctor Judy Moody,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7445/9780744593624.jpg,9780744593624,4.1,"5,773",Paperback,English,₹ 676.05,"Judy Moody has got the Moody Monday blues - until she finds out that Class 3T's new project is on the amazing human body...That means skeletons and skulls, a trip to the hospital, lots of medical jokes and double trouble when Judy's friends trick her into thinking the class guinea pig has been cloned. Then Judy catches the mumps off younger brother, Stink, but all is well in the end when her friends make up by coming to visit.",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
85,,Jm Bk 2: Judy Moody Gets Famous (Old Ed,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406302158.jpg,9781406302158,4.05,"10,238",Paperback,English,₹ 661.20,"Good moods, bad moods, can't-stand-Jessica-Finch moods - Judy Moody has a mood for every occasion! This time Judy's in a jealous mood - jealous of Jessica Finch, who has got her picture on the front page of the newspaper. So Judy sets off in pursuit of her own fame and fortune. But she'd better watch out - all her efforts could just end up making her more infamous than ever!",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
86,,Jm Bk 5: Doctor Judy Moody (Old Edition),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406302165.jpg,9781406302165,4.1,"5,759",Paperback,English,₹ 676.05,"Judy Moody has got the Moody Monday blues - until she finds out that her class' new project is on the amazing human body. That means skeletons, skulls, a hospital trip, lots of medical jokes and double trouble when Judy's friends trick her into thinking the class guinea pig has been cloned! But when Judy catches the mumps off her younger ""bother"", Stink, her friends make it up to her by coming to visit.",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
87,,Jm Bk 6: Judy Moody Declares Independenc,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406302301.jpg,9781406302301,4.1,"4,790",Paperback,English,₹ 682.90,"When Judy meets Tori, an English girl, at the Boston ""Tea Party"" ship, she learns that Tori enjoys far more liberties than she does, including her own phone, private loo and lots of pocket money. So Judy embarks on a quest for more independence. But when staging her own Boston tea party doesn't work, she is forced into retreat...until a real-life crisis gives Judy a chance to prove her independence, once and for all.",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
88,,Judy Moody,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406335828.jpg,9781406335828,3.98,"16,682",Paperback,English,₹ 637.62,"The first book in the internationally bestselling Judy Moody series. Judy is famous for her bad moods, but a new school project might just put a smile on her face! Bad moods, good moods, even back-to-school moods - Judy has them all! Perfect for fans of Jacqueline Wilson's younger fiction and Clarice Bean, this hilarious book is the first instalment in the internationally popular and bestselling series by Megan McDonald, illustrated by Peter H. Reynolds. Meet Judy Moody, her little ""bother"" Stink, her best friend Rocky and her ""pest"" friend Frank Pearl. Judy has a mood for every occasion, but when a new teacher gives the class a ""Me"" collage project, Judy has so much fun that she nearly forgets to be moody at all!",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
89,,Judy Moody Gets Famous!,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406335835.jpg,9781406335835,4.05,"10,238",Paperback,English,₹ 661.20,"In this second title in the internationally bestselling Judy Moody series, she's in the mood for fame and fortune! But could her efforts end up making her more infamous than ever? Good moods, bad moods, can't-stand-Jessica-Finch moods - Judy Moody has a mood for every occasion! The second book in the internationally popular and bestselling series is perfect for fans of Clarice Bean, Penny Dreadful and Agatha Parrot. Judy's in a jealous mood - jealous of Jessica Finch, who has got her picture on the front page of the newspaper. So Judy sets off in pursuit of her own fame and fortune, or at the very least, something to add to the Moody Hall of Fame. But she'd better watch out - all her efforts could just end up making her more infamous than ever!",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
90,,Judy Moody Predicts the Future,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406335859.jpg,9781406335859,4.09,"5,805",Paperback,English,₹ 682.90,"Judy Moody has a mood for every occasion and now she has a mood ring to prove it! But will ""Madame M"" (for Moody) be correct in her predictions in the fourth book in the internationally bestselling series? Perfect for fans of Clarice Bean, Penny Dreadful and Agatha Parrot, this is the fourth book in the internationally popular and bestselling Judy Moody series. Judy's mood ring has Extra Special Powers, which have put her in a predicting mood! But when Judy wrongly predicts a 110% result in her spelling test she begins to think that all her predictions are fictions. She has one last chance to prove her psychic abilities. Is her teacher, Mr Todd, really in love? All signs point to yes.",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
91,,Judy Moody Saves the World!,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406335842.jpg,9781406335842,4.05,"7,649",Paperback,English,₹ 637.62,"Where would the world be without Judy Moody? Watch her whip the planet into shape in the third book in the internationally bestselling Judy Moody series. Judy Moody is in the mood to save the world in the third book from the internationally popular and bestselling series, perfect for fans of Jacqueline Wilson and Lauren Child. Judy's learning about the environment at school. When she hears about the threats to the rainforest and endangered species - not to mention her own family's poor recycling habits - Judy's determined to whip the planet into shape!",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
92,,Judy Moody: Around the World in 8 1/2 Days,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406335880.jpg,9781406335880,4.16,"4,427",Paperback,English,₹ 661.20,"The seventh book in the internationally bestselling series. Will the arrival of the magnifico Amy Namey make Judy Moody start to forget all about her old friends? Judy is about to go around the world from the comfort of her classroom - and she wants to take all her friends with her. Judy Moody meets her double in the seventh book in the internationally popular and bestselling series, perfect for fans of Clarice Bean, Penny Dreadful and Agatha Parrot. The new girl at school is so similar to Judy they are practically clones! Amy Namey is a member of the ""way-cool"" My-Name-Is-A-Poem Club, and what's more, she sounds just like Judy and likes the same things as her, too. Judy is meant to be doing an Around-the-World class project on Italy with her best-ever friends Rocky and Frank Pearl. But with so much time spent thinking about Amy, Judy's old friends start to feel left out...",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
93,,Judy Moody: The Doctor Is In!,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406335866.jpg,9781406335866,4.1,"5,845",Paperback,English,₹ 637.62,"Judy Moody is in a medical mood after she finds out about her new class project on the Amazing Human Body. But a cloning experiment could be about to create some double trouble for Judy and her friends in the fifth book in the internationally bestselling series! Doctor Judy Moody is sure to tickle your funny bone in the hilarious fifth book in the internationally popular and bestselling series, perfect for fans of Jacqueline Wilson, Lauren Child and Kes Gray's Daisy. Judy Moody has got the Moody Monday blues - until she finds out that her class's new project is on the amazing human body. That means skeletons, skulls, a hospital trip, lots of medical jokes and double trouble when Judy's friends trick her into thinking the class guinea pig has been cloned! But when Judy catches the mumps off her younger ""bother"", Stink, her friends make it up to her by coming to visit.",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
94,,"Judy Moody, Book Quiz Whiz",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5362/9781536213997.jpg,9781536213997,4.19,217,Paperback,English,₹ 684.77,"Books, books, books! Judy's got books on the brain as she prepares for a totally RARE trivia competition. Has reading always been this exciting? Judy Moody is in it to win it. Win the Book Quiz Blowout, that is. Judy and her brother, Stink, are two-fifths of the Virginia Dare Bookworms, and they've been reading up a storm to prepare for Saturday's face-off against second- and third-grade readers from the next town. Judy's trying out all kinds of tactics, from hanging upside down like Pippi Longstocking to teaching herself to speed read The Princess in Black, and Stink has fashioned a cape of book trivia sticky notes to help him remember all the penguins in Mr. Popper's Penguins. But when Judy, Stink, and their fellow teammates discover the other group has a fourth-grader (no lie!), they get a bit nervous. Are the Bookworms up to the challenge?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Judy Moody,90251,0,0,0,1,1,1
