id,guid,name,image,isbn,rating,review_count,book_format,language,price,description,stock_available,amazon_bestseller,bestseller_age1,bestseller_age2,bestseller_age3,bestseller_age4,bestseller_age5,bestseller_age6,most_borrowed,borrowed_age1,borrowed_age2,borrowed_age3,borrowed_age4,borrowed_age5,borrowed_age6,suggestion_age1,suggestion_age2,suggestion_age3,suggestion_age4,suggestion_age5,suggestion_age6,tag1,series_id,age_group_1,age_group_2,age_group_3,age_group_4,age_group_5,age_group_6
11,,Super Good Skills (Almost...),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407157856.jpg,9781407157856,4.44,"1,956",Hardback,English,₹ 970.63,"Look out! Tom, Delia and the whole Gates family are going on holiday. How will Tom manage to keep himself busy on the most boring campsite ever? By doodling, of course! An exciting new story - with doodle your own elements! - from award-winning and best-selling author Liz Pichon.",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
12,,"Tom Gates: Family, Friends and Furry Creatures",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407168111.jpg,9781407168111,4.54,"1,852",Hardback,English,₹ 918.56,"In the next hilarious illustrated instalment of Tom Gates, Mr Fullerman has a class assignment: a family tree! Tom's ready to learn all about the Gates family, his friends and a furry creature (or two!). But just what *is* that squeaking sound coming from Tom's shoes?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
13,,Tom Gates: Epic Adventure (kind of),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407168081.jpg,9781407168081,4.51,"1,858",Paperback,English,₹ 958.62,The brand new hilarious and fully-illustrated instalment of the bestselling Tom Gates series! Having two sets of grandparents is turning out to be very good for me. The Wrinklies are keen on giving presents AND they're planning a family outing which is going to be EPIC! Even Delia wants to come. (I can always ignore her.),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
14,,"Tom Gates: Biscuits, Bands and Very Big Plans",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407179858.jpg,9781407179858,4.5,"1,360",Hardback,English,₹ 921.61,"The fourteenth title in the bestselling Tom Gates series of books from the brilliantly talented Liz Pichon.This book is VERY important because it contains BISCUITS, BANDS and all my (doodled) plans to make DogZombies the BEST band in the world. MY VERY BIG PLAN: 1. Write more songs about VERY important things like...... biscuits 2. Make sure there's a good supply of SNACKS for our band practice 3. Avoid Delia at ALL COSTS, she thinks I've been SNOOPING in her room. (I have.) 4. DOODLE as much as possible, especially if Marcus is watching Tom Gates is a series of books in diary form Full of Tom's doodles and pictures & his amazing sense of humour The Brilliant World of Tom Gates, was the winner of the Roald Dahl Funny Prize! Perfect gifts for boys & girls who love to laugh themselves silly TOM GATES BOOKS Brilliant World of Tom Gates (book 1) Tom Gates: Excellent Excuses (And Other Good Stuff) (book 2) Tom Gates: Everything's Amazing (sort of) (book 3) Tom Gates: Genius Ideas (mostly) (book 4) Tom Gates is Absolutely Fantastic (at some things) (book 5) Tom Gates: Extra Special Treats (not) (book 6) Tom Gates: A Tiny Bit Lucky (book 7) Tom Gates:Yes! No. (Maybe...) (book 8) Tom Gates: Top of the Class (Nearly) (book 9) Tom Gates: Super Good Skills (Almost...) (book 10) Tom Gates: DogZombies Rule (For now...) (book 11) Tom Gates: : Family, Friends and Furry Creatures (book 12) Tom Gates: Epic Adventure (kind of) (book 13) Tom Gates: Biscuits, Bands and Very Big Plans (book 14) Tom Gates: What Monster? (book 15) Tom Gates: Mega Make and Do and Stories Too! (book 16) Tom Gates: The Music Book",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
15,,Tom Gates 15: What Monster?,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407179865.jpg,9781407179865,4.54,"1,189",Hardback,English,₹ 921.61,"The fifteenth title in the bestselling Tom Gates series of books from the brilliantly talented Liz Pichon. What's that? A MONSTER? How has this scary beast escaped into Tom's sort-of-normal world? Is it one of his doodles? Is it Delia on the rampage? Or is it Mr Fullerman at full moon? All will be revealed in this book. According to Tom, it contains: MONSTERS - MYSTERY - A MUSIC FESTIVAL - MISSING STUFF. Oh, and also a very strict supply teacher who is every kid's nightmare. Is _that_ the monster? But you're not scared of monsters, are you? So don't let it put you off! Tom Gates is a series of books in diary form Full of Tom's doodles and pictures & his amazing sense of humour The Brilliant World of Tom Gates, was the winner of the Roald Dahl Funny Prize! Perfect gifts for boys & girls who love to laugh themselves silly The first series of The Brilliant World of Tom Gates won the Scottish BAFTA for Entertainment! TOM GATES BOOKS Brilliant World of Tom Gates (book 1) Tom Gates: Excellent Excuses (And Other Good Stuff) (book 2) Tom Gates: Everything's Amazing (sort of) (book 3) Tom Gates: Genius Ideas (mostly) (book 4) Tom Gates is Absolutely Fantastic (at some things) (book 5) Tom Gates: Extra Special Treats (not) (book 6) Tom Gates: A Tiny Bit Lucky (book 7) Tom Gates:Yes! No. (Maybe...) (book 8) Tom Gates: Top of the Class (Nearly) (book 9) Tom Gates: Super Good Skills (Almost...) (book 10) Tom Gates: DogZombies Rule (For now...) (book 11) Tom Gates: : Family, Friends and Furry Creatures (book 12) Tom Gates: Epic Adventure (kind of) (book 13) Tom Gates: Biscuits, Bands and Very Big Plans (book 14) Tom Gates: What Monster? (book 15) Tom Gates: Mega Make and Do and Stories Too! (book 16) Tom Gates: The Music Book",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
16,,Tom Gates: Mega Make and Do (and Stories Too!),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407174808.jpg,9781407174808,4.37,644,Hardback,English,"₹ 1,540.31","The 16th book in the best-selling Tom Gates series! When Mum and Dad forget it's half term, what's Tom going to doto keep busy over the break?! A weeks' worth of drawing, doodling, games, stories and activities in this fantastic new illustrated offering from bestselling author of the Tom Gates series, Liz Pichon! A fantastic new companion book - with original stories, create-your-own monster cut-outs and endless doodling fun from the bestselling author of Tom Gates From the winner of the Roald Dahl Funny Prize, the Red House Children's Book Award, the Waterstones Children's Book Prize and the Blue Peter Best Story Book Award 2013!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
17,,Tom Gates: Spectacular School Trip (Really.),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407186726.jpg,9781407186726,4.57,"1,179",Hardback,English,₹ 925.61,"The seventeenth laugh-out-loud, fully illustrated Tom Gates adventure! Tom's doing everything possible to stay out of trouble but somehow he's got THREE sad faces :( :( :( on the school achievement chart! And getting another sad face means Mr Fullerman won't let him go on the SCHOOL TRIP! Moany Marcus Meldrew is making things worse and now Tom's annoyed his grumpy sister Delia. Can his best friend Derek help? Will Rooster the dog stop eating his homework? ABOUT THE SERIES: Written in diary form Full of Tom's doodles and pictures & his amazing sense of humour The Brilliant World of Tom Gates, was the winner of the Roald Dahl Funny Prize! Perfect gifts for boys & girls who love to laugh themselves silly The first series of The Brilliant World of Tom Gates won the Scottish BAFTA for Entertainment! Love Tom Gates? Don't miss Liz Pichon's spectacular Shoe Wars, a laugh-out-loud, gadget-packed adventure!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
18,,Tom Gates 18: Ten Tremendous Tales (PB),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7023/9780702302534.jpg,9780702302534,Not known,,Paperback,English,₹ 975.90,"The absolutely brilliant, extra special eighteenth bestseller from multi-million copy selling author and illustrator Liz Pichon. A laugh-out-loud, fully illustrated collection of stories starring Tom Gates and his friends, family and foes! Featuring: A delicious chicken pie Getting stuck in a lift with Delia A teacher swap at school Some tiny ants in tiny pants and the adventures of Wafer Boy... Tom Gates is TREMENDOUS and so are his TALES! ABOUT THE SERIES: Written in diary form Full of Tom's doodles and pictures & his amazing sense of humour The Brilliant World of Tom Gates, was the winner of the Roald Dahl Funny Prize! Perfect gifts for boys & girls who love to laugh themselves silly The first TV series of The Brilliant World of Tom Gates won the Scottish BAFTA for Entertainment! Love Tom Gates? Don't miss Liz Pichon's spectacular Shoe Wars, a laugh-out-loud, gadget-packed adventure!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
19,,Tom Gates 19: Random Acts of Fun (pb),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407191133.jpg,9781407191133,Not known,,Paperback,English,₹ 948.21,"The top-of-the-class, extra special new bestseller from multi-million copy selling author and illustrator Liz Pichon - now in paperback. A laugh-out-loud, packed-with-pictures Tom Gates story! Oh no! Tom's stuck at home with a fractured ankle and it's spoiling his fun. Doodling on his plaster cast helps to pass the time, along with visits from family (with treats), friends and even Rooster managing to sneak in. Tom remembers other fun times he's had, like metal detecting with Uncle Kevin and the cousins or inventing a new secret language with Derek. But only ONE thing will cheer Tom up: a caramel doughnut from the new bakery... trouble is, every other kid in town keeps getting there before him! ABOUT THE SERIES: Written in diary form Every page STUFFED full of laughs, stories, doodles and creative FUN The Brilliant World of Tom Gates was the winner of the Roald Dahl Funny Prize! Perfect gifts for boys & girls who love to laugh themselves silly The first series of The Brilliant World of Tom Gates won the Scottish BAFTA for Entertainment! Don't miss Shoe Wars - the epic standalone by Liz Pichon.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
20,,Tom Gates 20: Happy to Help (eventually),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7023/9780702313424.jpg,9780702313424,Not known,,Hardback,English,"₹ 1,540.31","The top-of-the-class, extra special 20th book from multi-million copy selling author and illustrator Liz Pichon. A feel-good, laugh-out-loud, packed-with-pictures Tom Gates story! It's TIDY UP Saturday, but Tom is VERY busy relaxing and not helping out much. Until he spots the art box of his dreams in a shop window and everything changes. He's suddenly focused on earning extra pocket money and helping with EVERYTHING. But nothing quite goes to plan. Washing and shrinking Delia's clothes isn't a good start. And the hours spent carefully cleaning cars with Derek are ruined overnight when a storm hits Oakfield Town, causing even MORE chaos. At this rate it's going to take a MILLION years for Tom to get the art box of his dreams... or will it? ABOUT THE SERIES: Written in diary form Every page STUFFED full of laughs, stories, doodles and creative FUN The Brilliant World of Tom Gates was the winner of the Roald Dahl Funny Prize! Perfect gifts for boys & girls who love to laugh themselves silly The first series of The Brilliant World of Tom Gates won the Scottish BAFTA for Entertainment! Don't miss Shoe Wars - the epic standalone by Liz Pichon.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
