Minimum Age,Max Age,Category Order,Main Category,Book Order,ISBN 13,Image Link,Name,Rating,Review
0,2,5,Favourite Author - Eric Carle,7,9780689829598,https://m.media-amazon.com/images/I/71oXDM4Gz+L._AC_US218_..jpg,"Papa, Please Get The Moon For Me",4.6,"2,248"
0,2,5,Favourite Author - Eric Carle,8,9780399226847,https://m.media-amazon.com/images/I/71kIn8H0CXL._AC_US218_..jpg,The Very Quiet Cricket Board Book,4.6,"2,076"
0,2,5,Favourite Author - Eric Carle,9,9780241959565,https://m.media-amazon.com/images/I/91tRqaX1jpL._AC_US218_..jpg,Touch And Feel Playbook (The Very Hungry Caterpillar) [Paperback] Eric Carle,4.6,"2,063"
0,2,5,Favourite Author - Eric Carle,10,9780399254901,https://m.media-amazon.com/images/I/812Evhe3k5L._AC_US218_..jpg,Mister Seahorse: Board Book (World Of Eric Carle),4.8,"1,835"
0,3,8,Information & Learning,1,9781426333125,https://m.media-amazon.com/images/I/51AEq-45HbL._AC_US218_..jpg,Animals On the Go (First Board Books),4.7,211
0,3,8,Information & Learning,2,9781426333149,https://m.media-amazon.com/images/I/51FfSSv7QML._AC_US218_..jpg,Space,4.8,211
0,3,8,Information & Learning,3,9781426334689,https://m.media-amazon.com/images/I/510uj8vhpiL._AC_US218_..jpg,Ocean (First Board Books),4.7,100
0,3,8,Information & Learning,4,9781426334665,https://m.media-amazon.com/images/I/51jsVdyUVDL._AC_US218_..jpg,Wild Animal Sounds (First Board Books),4.7,626
0,3,8,Information & Learning,5,9781426336980,https://m.media-amazon.com/images/I/51BUNrsO1IL._AC_US218_..jpg,Things That Go (First Board Books),4.7,27
0,3,8,Information & Learning,6,9781426336966,https://m.media-amazon.com/images/I/51WMNpAxjnL._AC_US218_..jpg,Dinosaurs (First Board Books),5,57
0,3,8,Information & Learning,7,9781426339028,https://m.media-amazon.com/images/I/51NZigg5etL._AC_US218_..jpg,Insects,4.8,33
0,3,8,Information & Learning,8,9781426339035,https://m.media-amazon.com/images/I/51cBY0cCmbL._AC_US218_..jpg,Weather,4.7,27
0,3,8,Information & Learning,9,9781426371455,https://m.media-amazon.com/images/I/51JyuQi2uML._AC_US218_..jpg,Trucks (First Board Books),5,17
0,3,8,Information & Learning,10,9781426371448,https://m.media-amazon.com/images/I/51bzmRHU36L._AC_US218_..jpg,Birds (First Board Books),4.7,16
0,2,4,Most Loved - Globally ,1,9780374390198,https://m.media-amazon.com/images/I/51mg+IgMraL._AC_US218_..jpg,If Animals Kissed Good Night,4.8,71356
0,2,4,Most Loved - Globally ,2,9780593384749,https://m.media-amazon.com/images/I/81bC2wA-svL._AC_US218_..jpg,The Very Hungry Caterpillar'S First Summer (The World Of Eric Carle),4.9,"56,816"
0,2,4,Most Loved - Globally ,3,9780241426128,https://m.media-amazon.com/images/I/81th8PeEwLL._AC_US218_..jpg,Where's Spot?,4.5,"31,074"
0,2,4,Most Loved - Globally ,4,9780590078689,https://m.media-amazon.com/images/I/51ENMntyyIL._AC_US218_..jpg,Dear Zoo,4.8,27278
0,2,4,Most Loved - Globally ,5,9780545155625,https://m.media-amazon.com/images/I/51xgSUNCDrL._AC_US218_..jpg,The Pout-Pout Fish,4.9,24264
0,2,4,Most Loved - Globally ,6,9780545480581,https://m.media-amazon.com/images/I/51wz6uYhU6L._AC_US218_..jpg,"Goodnight, Goodnight Construction Site",4.9,"19,756"
0,2,4,Most Loved - Globally ,7,9780547482484,https://m.media-amazon.com/images/I/51ruQAf9TML._AC_US218_..jpg,"Little Blue Truck (6 December, 2010)",4.9,"16,680"
0,2,4,Most Loved - Globally ,8,9780756634681,https://m.media-amazon.com/images/I/51C3gQRWyuL._AC_US218_..jpg,"Baby Touch and Feel: Animals (21 January, 2008)",4.7,"10,532"
0,2,4,Most Loved - Globally ,9,9780451474575,https://m.media-amazon.com/images/I/A1hHoK2Uw-L._AC_US218_..jpg,Llama Llama Red Pajama,4.5,"10,400"
0,2,4,Most Loved - Globally ,10,9780544320413,https://m.media-amazon.com/images/I/619w6zrGM+L._AC_US218_..jpg,"Little Blue Truck's Christmas (23 September, 2014)",4.8,"15,243"
0,2,7,National Geographic - First Board,2,9781426333125,https://m.media-amazon.com/images/I/51AEq-45HbL._AC_US218_..jpg,Animals On the Go (First Board Books),4.7,211
0,2,7,National Geographic - First Board,3,9781426333149,https://m.media-amazon.com/images/I/51FfSSv7QML._AC_US218_..jpg,Space,4.7,211
0,2,7,National Geographic - First Board,4,9781426334689,https://m.media-amazon.com/images/I/510uj8vhpiL._AC_US218_..jpg,Ocean (First Board Books),4.7,100
0,2,7,National Geographic - First Board,1,9781426334665,https://m.media-amazon.com/images/I/51jsVdyUVDL._AC_US218_..jpg,Wild Animal Sounds (First Board Books),4.6,626
0,2,7,National Geographic - First Board,7,9781426336980,https://m.media-amazon.com/images/I/51BUNrsO1IL._AC_US218_..jpg,Things That Go (First Board Books),4.5,27
0,2,7,National Geographic - First Board,5,9781426336966,https://m.media-amazon.com/images/I/51WMNpAxjnL._AC_US218_..jpg,Dinosaurs (First Board Books),4.7,57
0,2,7,National Geographic - First Board,6,9781426339028,https://m.media-amazon.com/images/I/51NZigg5etL._AC_US218_..jpg,Insects,4.8,33
0,2,7,National Geographic - First Board,7,9781426339035,https://m.media-amazon.com/images/I/51cBY0cCmbL._AC_US218_..jpg,Weather,4.5,27
0,2,7,National Geographic - First Board,8,9781426371455,https://m.media-amazon.com/images/I/51JyuQi2uML._AC_US218_..jpg,Trucks (First Board Books),5,17
0,2,7,National Geographic - First Board,9,9781426371448,https://m.media-amazon.com/images/I/51bzmRHU36L._AC_US218_..jpg,Birds (First Board Books),4.5,16
3,5,1,Bestseller - New York Times,1,9780545261241,https://m.media-amazon.com/images/I/51cHCkvvKiL._AC_US218_..jpg,The Wonky Donkey,4.8,"76,637"
3,5,1,Bestseller - New York Times,2,9780060254926,https://m.media-amazon.com/images/I/612cvg4xMFL._AC_US218_..jpg,Where the Wild Things Are: A Caldecott Award Winner,4.9,"32,987"
3,5,1,Bestseller - New York Times,3,9780099408390,https://m.media-amazon.com/images/I/61f6zFlxHEL._AC_US218_..jpg,WHERE THE WILD THINGS ARE,4.9,"32,987"
3,5,1,Bestseller - New York Times,4,9780394800165,https://m.media-amazon.com/images/I/41QZuBj-CPL._AC_US218_..jpg,Green Eggs and Ham,4.9,"21,991"
3,5,1,Bestseller - New York Times,5,9780399255373,https://m.media-amazon.com/images/I/51JNz57DqLL._AC_US218_..jpg,The Day the Crayons Quit,4.8,"20,784"
3,5,1,Bestseller - New York Times,6,9780007348695,https://m.media-amazon.com/images/I/51RwWYBoSgL._AC_US218_..jpg,THE CAT IN THE HAT,4.9,"18,953"
3,5,1,Bestseller - New York Times,7,9780525553366,https://m.media-amazon.com/images/I/51tjnvwfLvL._AC_US218_..jpg,Hair Love,4.9,"17,662"
3,5,1,Bestseller - New York Times,8,9780394800387,https://m.media-amazon.com/images/I/51CDMBtlLgL._AC_US218_..jpg,Fox in Socks (Beginner Books),4.8,"14,463"
3,5,1,Bestseller - New York Times,9,9780062667120,https://m.media-amazon.com/images/I/51+SVDhJwML._AC_US218_..jpg,I Am Enough,4.9,"11,470"
3,5,1,Bestseller - New York Times,10,9780061906220,https://m.media-amazon.com/images/I/51cfWcsGihL._AC_US218_..jpg,Pete the Cat: I Love My White Shoes,4.9,"10,211"
3,5,2,Bestseller - UK,1,9780920668375,https://m.media-amazon.com/images/I/61Gvvjyug2L._AC_US218_..jpg,Love You Forever,4.9,"55,615"
3,5,2,Bestseller - UK,2,9780803731097,https://m.media-amazon.com/images/I/51inFTeRHCL._AC_US218_..jpg,The Gruffalo (Picture Books),4.9,"27,265"
3,5,2,Bestseller - UK,3,9780399255373,https://m.media-amazon.com/images/I/51JNz57DqLL._AC_US218_..jpg,The Day the Crayons Quit,4.8,"20,784"
3,5,2,Bestseller - UK,4,9780803741713,https://m.media-amazon.com/images/I/41-7wT9ak8L._AC_US218_..jpg,The Book with No Pictures,4.8,"17,411"
3,5,2,Bestseller - UK,5,9780394800387,https://m.media-amazon.com/images/I/51CDMBtlLgL._AC_US218_..jpg,Fox in Socks (Beginner Books),4.8,"14,463"
3,5,2,Bestseller - UK,6,9781368046459,https://m.media-amazon.com/images/I/41fyzdXODcL._AC_US218_..jpg,The Pigeon HAS to Go to School!,4.9,"11,105"
3,5,2,Bestseller - UK,7,9780593121962,https://m.media-amazon.com/images/I/51QmX7S38-L._AC_US218_..jpg,The World Needs More Purple People (My Purple World),4.8,"10,224"
3,5,2,Bestseller - UK,8,9780670867332,https://m.media-amazon.com/images/I/51Pt28RacNL._AC_US218_..jpg,The Snowy Day Board Book,4.9,"9,373"
3,5,2,Bestseller - UK,9,9780973410457,https://m.media-amazon.com/images/I/51Gs+HSNHxL._AC_US218_..jpg,It's OK to be Different: A Children's Picture Book About Diversity and Kindness,4.8,"5,576"
3,5,2,Bestseller - UK,10,9781408340479,https://m.media-amazon.com/images/I/51dzJVdlQ1L._AC_US218_..jpg,THE SQUIRRELS WHO SQUABBLED,4.8,"5,039"
