id,guid,name_x,image,isbn,rating,review_count,book_order,min_age_x,max_age_x,price,for_age,grade_level,lexile_measure,pages,dimensions,publisher,publication_date,language,id_x,guid_x,name_y,category_order,min_age_y,max_age_y,id_y,guid_y,category_id,book_id,section_id
2042,c3adbbdc-70fe-4652-9f08-cc165390de2e,That's Not My Train,https://m.media-amazon.com/images/I/51Ukn7OCiaL._AC_US218_..jpg,9780746093467,4.8,553,4,0,2,11274.0,,,,10.0,,USBORNE PUBLISHING,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1574,6950d137-a9dd-4f80-8a9a-af8063dba5d9,127,2042,1
2069,b463f88d-b9ed-4fc0-a033-0955bc6457d2,Look After Us: A Lift-the-Flap Book (Dear Zoo & Friends),https://m.media-amazon.com/images/I/51SiN2QQ0bL._AC_US218_..jpg,9781665914185,4.3,220,4,0,3,580.0,,,,18.0,6.13 x 0.4 x 6.25 inches,Little Simon,,English,129,a518bf5c-c139-45d5-a006-83c4e8db07fb,Dear Zoo & Friends,113,0,3,1601,03ac56d2-873e-4104-9304-79cbde29f6e5,129,2069,1
2069,b463f88d-b9ed-4fc0-a033-0955bc6457d2,Look After Us: A Lift-the-Flap Book (Dear Zoo & Friends),https://m.media-amazon.com/images/I/51SiN2QQ0bL._AC_US218_..jpg,9781665914185,4.3,220,4,0,3,580.0,,,,18.0,6.13 x 0.4 x 6.25 inches,Little Simon,,English,133,f1c52d26-6701-4ef1-b311-41e8f2220e6d,Rod Campbell,69,1,3,1656,b532c1b1-37a5-49d1-97d1-3e3b0c2890c1,133,2069,1
2040,e7eb8db7-43d3-460a-bcf5-b53ddfc9d7a4,"That's not my teddy... (27 July, 2007)",https://m.media-amazon.com/images/I/51GdOahL6qL._AC_US218_..jpg,9780746085172,4.8,1514,2,0,2,,,,,10.0,6.61 x 0.98 x 6.61 inches,Usborne Publishing Ltd,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1572,5b8b6b1a-d716-4704-b794-20708202808f,127,2040,1
2041,7982b96d-e5d2-4a6d-b8a5-f601e9c07e3f,"That's not my car... (THAT'S NOT MY (R)) (27 March, 2004)",https://m.media-amazon.com/images/I/41aEo0dvrzL._AC_US218_..jpg,9780746056622,4.8,955,3,0,2,,,,,6.0,6.57 x 0.75 x 6.38 inches,Usborne Pub Ltd,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1573,0f9ab1f4-9d1e-4dc3-a96d-a3e3f0b28b97,127,2041,1
2049,f3f05a51-2a07-4eb9-a819-5b7dd539d2d0,"That's Not My Plane (Touchy-feely Books) (1 June, 2008)",https://m.media-amazon.com/images/I/51i-emvXy6L._AC_US218_..jpg,9780794524111,4.7,548,5,0,2,,,,,10.0,6.25 x 0.5 x 6.25 inches,Usborne Pub Ltd,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1581,ecb2b1d8-82e5-48a1-9a36-57c3eadab25e,127,2049,1
2044,baa6b2c4-7086-4f31-835e-62d1b7eb69b9,"That's not my panda... (1 October, 2012)",https://m.media-amazon.com/images/I/51MtJuag20L._AC_US218_..jpg,9781409549833,4.8,529,7,0,2,,,,,,6.54 x 0.87 x 6.34 inches,Usborne Books,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1576,0044cd32-0ea9-49e6-a80b-d3c66a081317,127,2044,1
2039,c64b0199-4588-4d77-926a-01a6b3d76fd8,"That's Not My Pirate (Usborne Touchy Feely) (1 June, 2007)",https://m.media-amazon.com/images/I/51JWBD9xMlL._AC_US218_..jpg,9780794517021,4.9,402,9,0,2,,,,,10.0,6.75 x 0.75 x 6.5 inches,Usborne Pub Ltd,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1571,bbc9a868-b5c7-47ac-9c55-76d74f8b0d09,127,2039,1
2051,70eef7ba-1e60-4e6e-9bad-6335d1491d8e,Usborne Touchy-feely: Thats Not My Princess,https://m.media-amazon.com/images/I/516hQ9acSNL._AC_US218_..jpg,9780746073681,4.7,380,10,0,2,11133.0,,,,10.0,,USBORNE PUBLISHING,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1583,07a2356f-07bc-4b2c-97de-1d04d36c3dc7,127,2051,1
2046,1f97f860-7f1b-436b-b116-36734dc80316,"That's Not My Truck (Touchy-Feely Board Books S.) (28 June, 2002)",https://m.media-amazon.com/images/I/51AOtiNdsJL._AC_US218_..jpg,9780746048139,4.8,297,12,0,2,,,,,12.0,6.38 x 0.75 x 7.2 inches,Usborne Pub Ltd,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1578,3b43a187-bf82-4f68-a58b-cae138b56f6a,127,2046,1
2052,32fa9dca-359e-4270-9fcd-66f0bfec9f52,"That's not my bear... (THAT'S NOT MY (R)) (31 January, 2003)",https://m.media-amazon.com/images/I/41mA1mNAg8L._AC_US218_..jpg,9780746051597,4.7,267,13,0,2,449.0,,,,12.0,6.57 x 0.71 x 6.42 inches,Usborne Pub Ltd,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1584,26fa4c76-60e3-4382-8ce8-943e7606684b,127,2052,1
2053,df0c538d-f785-415f-b575-7e51df2a4080,That's Not My Robot,https://m.media-amazon.com/images/I/51ga8K0AfcL._AC_US218_..jpg,9780746069608,4.7,241,14,0,2,699.0,,,,,,USBORNE PUBLISHING,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1585,669ca6d0-007e-4531-a12d-7522a547d194,127,2053,1
2047,c1eecbb0-416e-4f53-97e6-691f1c46f5d3,"That's not my pony... (THAT'S NOT MY (R)) (26 January, 2007)",https://m.media-amazon.com/images/I/41BmVOi5DGL._AC_US218_..jpg,9780746080320,4.8,198,16,0,2,,,,,10.0,6.5 x 0.98 x 6.5 inches,Usborne Publishing Ltd,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1579,2164fe8a-ad66-42ea-977c-68e0e85ae119,127,2047,1
2055,18dee531-6267-436c-82d7-e3820369a0a8,"That's not my frog... (27 March, 2009)",https://m.media-amazon.com/images/I/51cYaYryMOL._AC_US218_..jpg,9781409504436,4.7,154,17,0,2,,,,,10.0,6.5 x 0.98 x 6.57 inches,Usborne Publishing Ltd,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1587,8d8cb17d-6874-4b74-a11d-37c69c35cceb,127,2055,1
2056,7eba26ad-d1cb-4db4-8b13-f578d81f9aff,"That's Not My Monkey (Usborne Touchy-Feely Books) (1 June, 2008)",https://m.media-amazon.com/images/I/51lTJ+Df4jL._AC_US218_..jpg,9780794521783,4.6,109,18,0,2,,,,,10.0,6.5 x 0.75 x 6.5 inches,Usborne Pub Ltd,,English,127,8ed0cbfc-c050-41fe-9f26-e5dbbf8dc885,THAT'S NOT MY,75,0,2,1588,266bd3a5-7d38-40c1-ac61-ff3a6272f578,127,2056,1
2078,77a3d8c4-0c40-494f-8854-7f7947ce5fa2,"Park (My First Touch and Find, 2) (19 April, 2018)",https://m.media-amazon.com/images/I/51xqqkCwj8L._AC_US218_..jpg,9781509852543,4.8,32,8,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1610,b3aa8b09-d44d-4bf6-bac4-b5472bd79d3a,131,2078,1
2079,b2ca30c1-3ff2-4267-94bb-0e12a0f08dbd,"Dinosaurs (My First Touch and Find, 7) (21 March, 2019)",https://m.media-amazon.com/images/I/51gqtjl8k5L._AC_US218_..jpg,9781529002843,4.8,24,9,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1611,af83003e-695e-4ebf-96a4-1099cd825d4a,131,2079,1
